"Estimate","Std. Error","z value","Pr(>|z|)","term","c_year_mean","dispersion","ref_extreme","ref_nerc"
-3.04627864134158,0.200002993546848,-15.2311652306745,2.19641745052744e-52,"(Intercept)",1999,10.0400131126036,"cold_dur_temp11","NERC1"
-0.0550553710751303,0.0161526359925501,-3.40844498077731,0.000653342588518219,"c_year",1999,10.0400131126036,"cold_dur_temp11","NERC1"
1.80890433638171,0.203691198864902,8.88062099129508,6.64881307693732e-19,"extreme_typecold_dur_temp12",1999,10.0400131126036,"cold_dur_temp11","NERC1"
2.64020437642809,0.196001174198477,13.4703497936933,2.33755968175968e-41,"extreme_typecold_dur_temp13",1999,10.0400131126036,"cold_dur_temp11","NERC1"
3.01880065700647,0.194078517871185,15.554532722731,1.4823314226324e-54,"extreme_typecold_dur_temp14",1999,10.0400131126036,"cold_dur_temp11","NERC1"
1.35047969765475,0.211294132212631,6.39146806166737,1.64300602864145e-10,"extreme_typecold_dur_temp21",1999,10.0400131126036,"cold_dur_temp11","NERC1"
2.22190199275679,0.198467995759251,11.1952659382525,4.30109723229018e-29,"extreme_typecold_dur_temp22",1999,10.0400131126036,"cold_dur_temp11","NERC1"
2.29239946095652,0.198075145419198,11.5733826982936,5.62214769385244e-31,"extreme_typecold_dur_temp23",1999,10.0400131126036,"cold_dur_temp11","NERC1"
2.23895494862152,0.199957425368683,11.1971583175434,4.21022569650836e-29,"extreme_typecold_dur_temp24",1999,10.0400131126036,"cold_dur_temp11","NERC1"
2.35143674563722,0.197442082207921,11.9095013552429,1.0560690911115e-32,"extreme_typecold_dur_temp31",1999,10.0400131126036,"cold_dur_temp11","NERC1"
2.54487507582219,0.196284823060405,12.965215731626,1.92687528915268e-38,"extreme_typecold_dur_temp32",1999,10.0400131126036,"cold_dur_temp11","NERC1"
2.26122546288491,0.198365869100941,11.399266784823,4.21655248010451e-30,"extreme_typecold_dur_temp33",1999,10.0400131126036,"cold_dur_temp11","NERC1"
1.49083060062606,0.208165886832495,7.16174308533888,7.96576070335254e-13,"extreme_typecold_dur_temp34",1999,10.0400131126036,"cold_dur_temp11","NERC1"
3.21645937381072,0.193122059942669,16.6550593690103,2.78068136082934e-62,"extreme_typecold_dur_temp41",1999,10.0400131126036,"cold_dur_temp11","NERC1"
2.35032059977108,0.197652782810513,11.8911586588907,1.31568583044986e-32,"extreme_typecold_dur_temp42",1999,10.0400131126036,"cold_dur_temp11","NERC1"
1.23585219743185,0.212922911769388,5.80422363738089,6.46649208753611e-09,"extreme_typecold_dur_temp43",1999,10.0400131126036,"cold_dur_temp11","NERC1"
-0.911152137229076,0.361229936909892,-2.52236053584994,0.01165701637634,"extreme_typecold_dur_temp44",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.0384556314005723,0.0845349256550532,0.454908206313345,0.64917527883143,"as.factor(NERC_ID)NERC2",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.212600399173174,0.0812977706848902,2.61508276773311,0.0089205835647946,"as.factor(NERC_ID)NERC3",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.260613700029098,0.0805758080898833,3.23439139125207,0.00121902274830091,"as.factor(NERC_ID)NERC4",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.156308546018324,0.0822587388710005,1.90020596186686,0.0574060962086316,"as.factor(NERC_ID)NERC5",1999,10.0400131126036,"cold_dur_temp11","NERC1"
-0.10506393465753,0.0874535929314924,-1.20136784705728,0.229608542710505,"as.factor(NERC_ID)NERC6",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.0789957144066877,0.0836979760170497,0.943818693902418,0.345262306060568,"as.factor(NERC_ID)NERC7",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.0116533077035714,0.0849912596162477,0.137111836631065,0.890942396555057,"as.factor(NERC_ID)NERC8",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.167193410678718,0.0820962174079009,2.03655437433865,0.0416947189374435,"as.factor(NERC_ID)NERC9",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.178524443465262,0.0818973656102968,2.17985575158496,0.0292681557654326,"as.factor(NERC_ID)NERC10",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.111173110585272,0.0830458793728884,1.33869508547304,0.180669956841363,"as.factor(NERC_ID)NERC11",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.136105699708835,0.0826520439274427,1.64673120277966,0.0996133076821149,"as.factor(NERC_ID)NERC12",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.107914467982882,0.083143657009899,1.29792784998661,0.194312128952539,"as.factor(NERC_ID)NERC15",1999,10.0400131126036,"cold_dur_temp11","NERC1"
