"val_year","model","mae"
2013,"fit_nb",0.75076751540468
2013,"fit_nb_yr",0.750085443109242
2013,"fit_nb_yr_rs",0.749973765767748
2013,"fit_nb_yr_rs2",0.749973765767748
2014,"fit_nb",0.647919398262334
2014,"fit_nb_yr",0.647673577843529
2014,"fit_nb_yr_rs",0.647584320733666
2014,"fit_nb_yr_rs2",0.647584320733666
2015,"fit_nb",0.559598648930536
2015,"fit_nb_yr",0.559529494197405
2015,"fit_nb_yr_rs",0.559432540214215
2015,"fit_nb_yr_rs2",0.559432540214215
2016,"fit_nb",0.620345220867563
2016,"fit_nb_yr",0.620680538862155
2016,"fit_nb_yr_rs",0.620607300642946
2016,"fit_nb_yr_rs2",0.620607300642946
2017,"fit_nb",0.55474728209379
2017,"fit_nb_yr",0.555636260894711
2017,"fit_nb_yr_rs",0.555596950759651
2017,"fit_nb_yr_rs2",0.555596950759651
2018,"fit_nb",0.607875096801073
2018,"fit_nb_yr",0.608842081908123
2018,"fit_nb_yr_rs",0.6088153051406
2018,"fit_nb_yr_rs2",0.6088153051406
