start_date,end_date,centroid_date,highest_temperature_k,duration_days,nerc_id,spatial_coverage,inter_event_recovery_interval_days,cumulative_heat_stress_index,yearly_max_heat_wave_intensity,yearly_max_heat_wave_duration,yearly_max_heat_wave_intensity_trend,yearly_max_heat_wave_duration_trend
1980-06-05,1980-06-07,1980-06-07,308.5895625,3,NERC,56.5625,20.0,925.7686874999999,313.05053125,9,,
1980-06-27,1980-06-29,1980-06-28,309.355227272727,3,NERC,47.7272727272727,6.0,1853.834369318181,313.05053125,9,,
1980-07-05,1980-07-07,1980-07-06,308.832809917355,3,NERC,49.5867768595041,-1.0,2780.332799070246,313.05053125,9,,
1980-07-06,1980-07-09,1980-07-09,309.811851851852,4,NERC,80.2469135802469,-1.0,4019.580206477654,313.05053125,9,,
1980-07-08,1980-07-10,1980-07-08,308.424917355372,3,NERC,52.4793388429752,-2.0,4944.85495854377,313.05053125,9,,
1980-07-08,1980-07-10,1980-07-10,312.1914375,3,NERC,41.25,-2.0,5881.42927104377,313.05053125,9,,
1980-07-08,1980-07-12,1980-07-12,310.519798657718,5,NERC,63.758389261745,0.0,7434.02826433236,313.05053125,9,,
1980-07-12,1980-07-17,1980-07-13,311.097479338843,6,NERC,77.6859504132231,-3.0,9300.613140365418,313.05053125,9,,
1980-07-12,1980-07-15,1980-07-14,308.854561403509,4,NERC,70.1754385964912,-3.0,10536.031385979455,313.05053125,9,,
1980-07-14,1980-07-16,1980-07-14,313.05053125,3,NERC,26.25,-1.0,11475.182979729454,313.05053125,9,,
1980-07-15,1980-07-17,1980-07-16,310.038429752066,3,NERC,58.2644628099174,-2.0,12405.298268985653,313.05053125,9,,
1980-07-15,1980-07-19,1980-07-16,311.813580246914,5,NERC,61.1111111111111,6.0,13964.366170220223,313.05053125,9,,
1980-07-25,1980-08-02,1980-07-25,309.197407407407,9,NERC,77.7777777777778,1.0,16747.142836886884,313.05053125,9,,
1980-08-03,1980-08-05,1980-08-03,310.703085106383,3,NERC,31.9148936170213,-2.0,17679.252092206036,313.05053125,9,,
1980-08-03,1980-08-05,1980-08-03,307.964163090129,3,NERC,51.5021459227468,4.0,18603.144581476423,313.05053125,9,,
1980-08-09,1980-08-12,1980-08-09,307.965,4,NERC,67.3553719008265,-2.0,19835.00458147642,313.05053125,9,,
1980-08-10,1980-08-12,1980-08-10,305.150729613734,3,NERC,67.381974248927,6.0,20750.45677031762,313.05053125,9,,
1980-08-18,1980-08-21,1980-08-20,308.588993288591,4,NERC,61.0738255033557,0.0,21984.812743471986,313.05053125,9,,
1980-08-21,1980-08-23,1980-08-22,306.936666666667,3,NERC,38.5964912280702,9.0,22905.622743471988,313.05053125,9,,
1980-09-01,1980-09-03,1980-09-02,301.16447761194,3,NERC,50.7462686567164,17.0,23809.11617630781,313.05053125,9,,
1980-09-20,1980-09-22,1980-09-21,308.9518125,3,NERC,44.6875,-1.0,24735.971613807807,313.05053125,9,,
1980-09-21,1980-09-23,1980-09-22,305.612685950413,3,NERC,47.5206611570248,-2.0,25652.809671659048,313.05053125,9,,
1980-09-21,1980-09-23,1980-09-23,306.105150214592,3,NERC,54.9356223175966,7.0,26571.125122302823,313.05053125,9,,
1980-09-30,1980-10-05,1980-10-01,307.708148148148,6,NERC,83.3333333333333,2.0,28417.37401119171,313.05053125,9,,
1980-10-07,1980-10-09,1980-10-07,304.405740740741,3,NERC,50.0,6.0,29330.591233413936,313.05053125,9,,
1980-10-15,1980-10-17,1980-10-15,303.590531914894,3,NERC,38.2978723404255,175.0,30241.362829158617,313.05053125,9,,
1981-04-10,1981-04-13,1981-04-13,302.99921875,4,NERC,70.3125,-2.0,1211.996875,310.768085106383,12,-2.282446143616994,3.0
1981-04-11,1981-04-13,1981-04-13,300.950201342282,3,NERC,89.261744966443,-2.0,2114.847479026846,310.768085106383,12,-2.282446143616994,3.0
1981-04-11,1981-04-14,1981-04-13,300.088347107438,4,NERC,49.5867768595041,3.0,3315.2008674565977,310.768085106383,12,-2.282446143616994,3.0
1981-04-17,1981-04-19,1981-04-17,302.1978125,3,NERC,46.875,7.0,4221.794304956598,310.768085106383,12,-2.282446143616994,3.0
1981-04-26,1981-05-01,1981-04-30,301.535,6,NERC,52.2727272727273,-2.0,6031.0043049565975,310.768085106383,12,-2.282446143616994,3.0
1981-04-29,1981-05-01,1981-04-29,302.905740740741,3,NERC,64.8148148148148,34.0,6939.721527178821,310.768085106383,12,-2.282446143616994,3.0
1981-06-04,1981-06-06,1981-06-05,305.156481481481,3,NERC,50.0,-2.0,7855.190971623264,310.768085106383,12,-2.282446143616994,3.0
1981-06-04,1981-06-06,1981-06-05,303.816008583691,3,NERC,59.2274678111588,-1.0,8766.638997374337,310.768085106383,12,-2.282446143616994,3.0
1981-06-05,1981-06-12,1981-06-09,307.66805785124,8,NERC,80.1652892561984,-5.0,11227.983460184256,310.768085106383,12,-2.282446143616994,3.0
1981-06-07,1981-06-10,1981-06-09,308.231363636364,4,NERC,56.8181818181818,-1.0,12460.908914729713,310.768085106383,12,-2.282446143616994,3.0
1981-06-09,1981-06-11,1981-06-09,310.768085106383,3,NERC,52.1276595744681,-2.0,13393.21317004886,310.768085106383,12,-2.282446143616994,3.0
1981-06-09,1981-06-15,1981-06-09,307.51024691358,7,NERC,98.1481481481482,-2.0,15545.784898443922,310.768085106383,12,-2.282446143616994,3.0
1981-06-13,1981-06-15,1981-06-14,304.83711409396,3,NERC,85.9060402684564,-1.0,16460.296240725802,310.768085106383,12,-2.282446143616994,3.0
1981-06-14,1981-06-17,1981-06-16,308.116909871245,4,NERC,75.1072961373391,2.0,17692.763880210783,310.768085106383,12,-2.282446143616994,3.0
1981-06-14,1981-06-16,1981-06-15,303.116388888889,3,NERC,46.031746031746,-2.0,18602.11304687745,310.768085106383,12,-2.282446143616994,3.0
1981-06-19,1981-06-22,1981-06-21,306.881481481482,4,NERC,64.8148148148148,-1.0,19829.638972803376,310.768085106383,12,-2.282446143616994,3.0
1981-06-21,1981-06-23,1981-06-22,310.071818181818,3,NERC,43.1818181818182,17.0,20759.85442734883,310.768085106383,12,-2.282446143616994,3.0
1981-07-10,1981-07-21,1981-07-14,309.752727272727,12,NERC,83.0578512396694,-10.0,24476.887154621552,310.768085106383,12,-2.282446143616994,3.0
1981-07-11,1981-07-13,1981-07-12,308.636540084388,3,NERC,47.8902953586498,2.0,25402.796774874718,310.768085106383,12,-2.282446143616994,3.0
1981-07-15,1981-07-20,1981-07-15,308.129298245614,6,NERC,82.4561403508772,18.0,27251.572564348404,310.768085106383,12,-2.282446143616994,3.0
1981-08-07,1981-08-09,1981-08-07,309.648518518519,3,NERC,51.8518518518519,56.0,28180.518119903958,310.768085106383,12,-2.282446143616994,3.0
1981-10-04,1981-10-06,1981-10-04,306.296755319149,3,NERC,29.2553191489362,6.0,29099.408385861407,310.768085106383,12,-2.282446143616994,3.0
1981-10-12,1981-10-17,1981-10-14,298.94796875,6,NERC,65.0,-5.0,30893.096198361407,310.768085106383,12,-2.282446143616994,3.0
1981-10-12,1981-10-17,1981-10-14,304.17835106383,6,NERC,80.8510638297872,121.0,32718.166304744387,310.768085106383,12,-2.282446143616994,3.0
1982-02-15,1982-02-17,1982-02-16,300.393157894737,3,NERC,43.859649122807,23.0,901.179473684211,306.988148148148,9,-3.779936958234998,-3.0
1982-03-12,1982-03-20,1982-03-18,302.637234042553,9,NERC,63.8297872340426,-5.0,3624.9145800671886,306.988148148148,9,-3.779936958234998,-3.0
1982-03-15,1982-03-20,1982-03-18,301.986604938272,6,NERC,93.8271604938272,-2.0,5436.834209696821,306.988148148148,9,-3.779936958234998,-3.0
1982-03-18,1982-03-20,1982-03-18,301.853553719008,3,NERC,39.2561983471074,25.0,6342.394870853845,306.988148148148,9,-3.779936958234998,-3.0
1982-04-14,1982-04-16,1982-04-14,305.650372340426,3,NERC,35.1063829787234,37.0,7259.345987875123,306.988148148148,9,-3.779936958234998,-3.0
1982-05-23,1982-05-25,1982-05-24,303.195,3,NERC,50.0,4.0,8168.930987875123,306.988148148148,9,-3.779936958234998,-3.0
1982-05-29,1982-05-31,1982-05-29,306.164917355372,3,NERC,23.1404958677686,-1.0,9087.425739941238,306.988148148148,9,-3.779936958234998,-3.0
1982-05-30,1982-06-01,1982-05-30,304.058583690987,3,NERC,65.6652360515021,80.0,9999.6014910142,306.988148148148,9,-3.779936958234998,-3.0
1982-08-20,1982-08-22,1982-08-21,302.586533333333,3,NERC,33.7777777777778,-1.0,10907.3610910142,306.988148148148,9,-3.779936958234998,-3.0
1982-08-21,1982-08-23,1982-08-21,306.988148148148,3,NERC,57.4074074074074,20.0,11828.325535458644,306.988148148148,9,-3.779936958234998,-3.0
1982-09-12,1982-09-14,1982-09-13,306.491419753086,3,NERC,42.5925925925926,-1.0,12747.799794717901,306.988148148148,9,-3.779936958234998,-3.0
1982-09-13,1982-09-15,1982-09-14,302.759462809917,3,NERC,55.3719008264463,21.0,13656.078183147652,306.988148148148,9,-3.779936958234998,-3.0
1982-10-06,1982-10-09,1982-10-06,303.230802469136,4,NERC,85.8024691358025,-2.0,14869.001393024197,306.988148148148,9,-3.779936958234998,-3.0
1982-10-06,1982-10-08,1982-10-06,304.351276595745,3,NERC,49.468085106383,-2.0,15782.05522281143,306.988148148148,9,-3.779936958234998,-3.0
1982-10-07,1982-10-10,1982-10-09,298.768884297521,4,NERC,83.4710743801653,-2.0,16977.130760001513,306.988148148148,9,-3.779936958234998,-3.0
1982-10-08,1982-10-10,1982-10-10,303.095991735537,3,NERC,41.7355371900826,52.0,17886.418735208124,306.988148148148,9,-3.779936958234998,-3.0
1982-12-01,1982-12-05,1982-12-01,301.396842105263,5,NERC,47.3684210526316,-4.0,19393.40294573444,306.988148148148,9,-3.779936958234998,-3.0
1982-12-01,1982-12-04,1982-12-02,298.35512345679,4,NERC,98.1481481481482,-3.0,20586.823439561602,306.988148148148,9,-3.779936958234998,-3.0
1982-12-01,1982-12-05,1982-12-02,298.271983471074,5,NERC,100.0,91.0,22078.183356916972,306.988148148148,9,-3.779936958234998,-3.0
1983-03-06,1983-03-08,1983-03-06,300.322280701754,3,NERC,49.1228070175439,30.0,900.966842105262,310.3951875,7,3.4070393518520063,-2.0
1983-04-07,1983-04-09,1983-04-08,302.529649122807,3,NERC,47.3684210526316,45.0,1808.555789473683,310.3951875,7,3.4070393518520063,-2.0
1983-05-24,1983-05-29,1983-05-28,300.957822222222,6,NERC,64.0,-3.0,3614.302722807015,310.3951875,7,3.4070393518520063,-2.0
1983-05-26,1983-05-28,1983-05-27,302.644444444444,3,NERC,55.5555555555556,16.0,4522.2360561403475,310.3951875,7,3.4070393518520063,-2.0
1983-06-13,1983-06-15,1983-06-13,300.565820895522,3,NERC,47.7611940298507,-1.0,5423.933518826913,310.3951875,7,3.4070393518520063,-2.0
1983-06-14,1983-06-17,1983-06-15,301.365409836066,4,NERC,72.1311475409836,15.0,6629.395158171177,310.3951875,7,3.4070393518520063,-2.0
1983-07-02,1983-07-04,1983-07-03,303.788908730159,3,NERC,45.8333333333333,15.0,7540.761884361655,310.3951875,7,3.4070393518520063,-2.0
1983-07-19,1983-07-21,1983-07-19,307.658080168776,3,NERC,69.831223628692,-1.0,8463.736124867983,310.3951875,7,3.4070393518520063,-2.0
1983-07-20,1983-07-22,1983-07-21,307.170214592275,3,NERC,50.2145922746781,-2.0,9385.246768644807,310.3951875,7,3.4070393518520063,-2.0
