start_date,end_date,centroid_date,highest_temperature_k,duration_days,nerc_id,spatial_coverage
1986-07-25,1986-07-26,1986-07-25,307.46152892562,2,NERC,48.7603305785124
1986-07-27,1986-07-31,1986-07-30,313.006010638298,5,NERC,59.0425531914894
1986-07-28,1986-08-01,1986-07-31,312.761111111111,5,NERC,81.4814814814815
1986-07-28,1986-07-30,1986-07-29,312.9258125,3,NERC,55.0
1986-07-29,1986-07-31,1986-07-31,310.143553719008,3,NERC,79.7520661157025
1986-08-01,1986-08-02,1986-08-01,308.169298245614,2,NERC,49.1228070175439
1987-07-09,1987-07-10,1987-07-09,307.526652360515,2,NERC,60.9442060085837
1987-07-11,1987-07-13,1987-07-11,302.686885245902,3,NERC,80.327868852459
1987-07-13,1987-07-14,1987-07-14,307.480350877193,2,NERC,50.8771929824562
1987-07-20,1987-07-25,1987-07-24,304.825257936508,6,NERC,81.9444444444445
1987-07-22,1987-07-23,1987-07-22,307.430772532189,2,NERC,59.656652360515
1987-07-24,1987-07-25,1987-07-24,303.373731343284,2,NERC,49.2537313432836
1987-07-28,1987-08-02,1987-07-31,309.455506329114,6,NERC,83.1223628691983
1987-07-31,1987-08-03,1987-08-02,310.046577181208,4,NERC,79.8657718120805
1987-08-08,1987-08-10,1987-08-09,309.019122807018,3,NERC,87.719298245614
1987-08-17,1987-08-18,1987-08-17,303.776417910448,2,NERC,56.7164179104478
1988-06-19,1988-06-22,1988-06-21,311.140084388186,4,NERC,86.7088607594937
1988-06-21,1988-06-22,1988-06-22,305.836150793651,2,NERC,54.7619047619048
1988-06-21,1988-06-22,1988-06-22,309.181073825503,2,NERC,52.3489932885906
1988-06-22,1988-06-23,1988-06-23,307.544132231405,2,NERC,46.6942148760331
1988-06-22,1988-06-23,1988-06-23,308.445278969957,2,NERC,63.519313304721
1988-06-24,1988-06-25,1988-06-24,310.61805907173,2,NERC,53.3755274261603
1988-06-25,1988-06-26,1988-06-25,307.663842975207,2,NERC,51.6528925619835
1988-07-05,1988-07-07,1988-07-06,309.96135021097,3,NERC,88.6075949367089
1988-07-07,1988-07-11,1988-07-10,304.483442622951,5,NERC,86.8852459016394
1988-07-07,1988-07-10,1988-07-08,306.892916666667,4,NERC,83.5317460317461
1988-07-08,1988-07-09,1988-07-08,309.29367768595,2,NERC,57.8512396694215
1988-07-14,1988-07-16,1988-07-15,310.862890295359,3,NERC,73.2067510548523
1988-07-14,1988-07-15,1988-07-14,311.201342281879,2,NERC,43.6241610738255
1988-07-15,1988-07-18,1988-07-16,308.61974248927,4,NERC,82.8326180257511
1988-07-15,1988-07-18,1988-07-16,309.150950413223,4,NERC,79.3388429752066
1988-07-15,1988-07-16,1988-07-15,309.30826446281,2,NERC,52.4793388429752
1988-07-16,1988-07-17,1988-07-16,307.455238095238,2,NERC,62.8968253968254
1988-07-17,1988-07-18,1988-07-17,310.836481481481,2,NERC,64.8148148148148
1988-07-21,1988-07-22,1988-07-21,308.318148148148,2,NERC,57.4074074074074
1988-07-25,1988-07-26,1988-07-25,304.397955555556,2,NERC,47.5555555555556
1988-07-27,1988-08-03,1988-07-31,312.121582278481,8,NERC,92.6160337552743
1988-07-29,1988-07-30,1988-07-29,305.524067460317,2,NERC,50.3968253968254
1988-08-01,1988-08-02,1988-08-01,309.96744966443,2,NERC,55.7046979865772
1988-08-02,1988-08-05,1988-08-03,304.838360655738,4,NERC,93.4426229508197
1988-08-02,1988-08-05,1988-08-02,306.871785714286,4,NERC,77.5793650793651
1988-08-03,1988-08-06,1988-08-04,303.416865671642,4,NERC,88.0597014925373
1988-08-10,1988-08-15,1988-08-13,303.091641791045,6,NERC,73.134328358209
1988-08-11,1988-08-12,1988-08-11,310.67835443038,2,NERC,76.5822784810127
1988-08-12,1988-08-15,1988-08-14,304.425901639344,4,NERC,77.0491803278689
1988-08-12,1988-08-15,1988-08-15,306.520238095238,4,NERC,81.5476190476191
1988-08-14,1988-08-18,1988-08-17,309.684338842975,5,NERC,62.8099173553719
1988-08-14,1988-08-18,1988-08-16,313.085167785235,5,NERC,100.0
1988-08-15,1988-08-17,1988-08-16,312.834451476793,3,NERC,83.5443037974684
1988-09-04,1988-09-05,1988-09-04,310.328888888889,2,NERC,72.2222222222222
1989-07-05,1989-07-06,1989-07-05,305.740930232558,2,NERC,61.6279069767442
1989-07-07,1989-07-08,1989-07-07,309.827962962963,2,NERC,55.5555555555556
1989-07-08,1989-07-10,1989-07-09,310.99970464135,3,NERC,71.0970464135021
1989-07-08,1989-07-09,1989-07-08,305.487325581395,2,NERC,55.8139534883721
1989-07-26,1989-07-27,1989-07-26,302.57447761194,2,NERC,79.1044776119403
1989-08-02,1989-08-04,1989-08-04,310.159135021097,3,NERC,77.2151898734177
1990-06-20,1990-06-21,1990-06-20,309.603429752066,2,NERC,47.5206611570248
1990-06-24,1990-06-30,1990-06-25,310.468409090909,7,NERC,63.6363636363636
1990-06-27,1990-07-02,1990-06-29,305.460581395349,6,NERC,63.953488372093
1990-07-09,1990-07-10,1990-07-09,306.851570247934,2,NERC,50.8264462809917
1990-07-11,1990-07-14,1990-07-12,308.668518518519,4,NERC,68.5185185185185
1990-07-12,1990-07-13,1990-07-12,304.120222222222,2,NERC,43.5555555555556
1990-08-06,1990-08-10,1990-08-06,309.553333333333,5,NERC,64.8148148148148
1990-08-07,1990-08-09,1990-08-08,305.208844444444,3,NERC,60.4444444444444
1990-08-28,1990-08-29,1990-08-29,311.503271604938,2,NERC,46.9135802469136
1991-07-02,1991-07-05,1991-07-03,308.980185185185,4,NERC,62.962962962963
1991-07-17,1991-07-18,1991-07-17,307.198691983122,2,NERC,45.1476793248945
1991-07-19,1991-07-21,1991-07-20,304.728360655738,3,NERC,85.2459016393443
1991-07-19,1991-07-21,1991-07-20,304.784626865672,3,NERC,82.089552238806
1991-07-20,1991-07-23,1991-07-22,305.29369047619,4,NERC,81.5476190476191
1991-07-22,1991-07-23,1991-07-23,307.422060085837,2,NERC,70.3862660944206
1991-08-26,1991-08-28,1991-08-26,308.66888185654,3,NERC,58.0168776371308
1992-07-10,1992-07-14,1992-07-14,307.72339055794,5,NERC,75.9656652360515
1992-08-13,1992-08-14,1992-08-13,304.569333333333,2,NERC,44.4444444444444
1993-07-06,1993-07-10,1993-07-06,303.639016393443,5,NERC,85.2459016393443
1993-07-07,1993-07-10,1993-07-10,303.495671641791,4,NERC,82.089552238806
1993-07-08,1993-07-09,1993-07-09,304.764345238095,2,NERC,64.8809523809524
1993-07-08,1993-07-12,1993-07-10,308.210386266094,5,NERC,81.9742489270386
1993-07-14,1993-07-15,1993-07-14,308.154377682403,2,NERC,60.0858369098713
1993-07-21,1993-07-22,1993-07-21,308.951859504132,2,NERC,50.8264462809917
1993-07-25,1993-07-28,1993-07-28,308.18305785124,4,NERC,73.9669421487603
1993-07-27,1993-07-30,1993-07-29,309.455743801653,4,NERC,92.5619834710744
1993-07-28,1993-07-29,1993-07-29,308.774849785408,2,NERC,71.6738197424893
1993-07-29,1993-08-01,1993-07-29,307.957719298246,4,NERC,63.1578947368421
1993-08-01,1993-08-02,1993-08-01,309.868518518518,2,NERC,66.6666666666667
1993-08-19,1993-08-20,1993-08-19,309.957222222222,2,NERC,48.7654320987654
1994-06-15,1994-06-19,1994-06-18,304.477936507937,5,NERC,79.1666666666667
1994-06-16,1994-06-18,1994-06-18,303.22737704918,3,NERC,70.4918032786885
1994-06-24,1994-07-02,1994-06-26,311.893863636364,9,NERC,79.5454545454546
1994-06-26,1994-06-29,1994-06-28,315.194893617021,4,NERC,61.1702127659575
1994-07-07,1994-07-09,1994-07-08,301.846557377049,3,NERC,75.4098360655738
1994-07-21,1994-07-22,1994-07-21,302.841343283582,2,NERC,67.1641791044776
1994-07-22,1994-07-23,1994-07-22,305.089955555556,2,NERC,44.4444444444444
