start_date,end_date,centroid_date,highest_temperature,duration,NERC_ID,spatial_coverage,inter_event_recovery_interval_days
1990-06-12,1990-06-13,1990-06-12,303.203396624473,2,NERC18,48.5232067510549,12.0
1990-06-25,1990-07-04,1990-07-03,309.644662447257,10,NERC18,94.7257383966245,13.0
1990-07-17,1990-07-19,1990-07-17,304.374599156118,3,NERC18,67.2995780590717,8.0
1990-07-27,1990-07-29,1990-07-28,302.622447257384,3,NERC18,62.0253164556962,18.0
1990-08-16,1990-08-18,1990-08-17,305.085168776371,3,NERC18,58.8607594936709,6.0
1990-08-24,1990-08-28,1990-08-27,307.057911392405,5,NERC18,86.4978902953587,2.0
1990-08-30,1990-09-06,1990-09-05,306.735569620253,8,NERC18,79.957805907173,6.0
1990-09-12,1990-09-13,1990-09-13,305.112320675105,2,NERC18,52.9535864978903,272.0
1991-06-12,1991-06-14,1991-06-12,302.862573839662,3,NERC18,71.5189873417722,5.0
1991-06-19,1991-06-20,1991-06-20,302.003797468354,2,NERC18,55.6962025316456,5.0
1991-06-25,1991-07-01,1991-06-26,306.052616033755,7,NERC18,90.084388185654,4.0
1991-07-05,1991-07-07,1991-07-05,305.055210970464,3,NERC18,71.7299578059072,8.0
1991-07-15,1991-07-22,1991-07-17,307.198691983122,8,NERC18,97.0464135021097,9.0
1991-07-31,1991-08-02,1991-08-01,304.790421940928,3,NERC18,54.6413502109705,19.0
1991-08-21,1991-08-30,1991-08-25,308.73,10,NERC18,97.4683544303798,344.0
1992-08-08,1992-08-10,1992-08-09,305.925738396624,3,NERC18,82.4894514767933,364.0
1993-08-09,1993-08-11,1993-08-10,303.869050632911,3,NERC18,89.662447257384,13.0
1993-08-24,1993-08-26,1993-08-25,303.70641350211,3,NERC18,78.2700421940928,292.0
1994-06-14,1994-06-15,1994-06-14,305.168016877637,2,NERC18,52.7426160337553,3.0
1994-06-18,1994-06-22,1994-06-19,303.76111814346,5,NERC18,76.7932489451477,13.0
1994-07-05,1994-07-06,1994-07-05,304.408164556962,2,NERC18,69.620253164557,12.0
1994-07-18,1994-07-19,1994-07-19,305.052827004219,2,NERC18,51.6877637130802,12.0
1994-07-31,1994-08-01,1994-07-31,304.028713080169,2,NERC18,45.7805907172996,22.0
1994-08-23,1994-08-27,1994-08-27,306.694029535865,5,NERC18,76.3713080168776,17.0
1994-09-13,1994-09-15,1994-09-14,303.68135021097,3,NERC18,54.6413502109705,273.0
1995-06-15,1995-06-23,1995-06-17,304.470400843882,9,NERC18,97.2573839662447,16.0
1995-07-09,1995-07-15,1995-07-13,308.562827004219,7,NERC18,95.5696202531646,11.0
1995-07-26,1995-07-30,1995-07-30,306.380970464135,5,NERC18,73.2067510548523,6.0
1995-08-05,1995-08-13,1995-08-08,306.390126582278,9,NERC18,92.8270042194093,3.0
1995-08-16,1995-08-18,1995-08-18,306.241582278481,3,NERC18,86.7088607594937,4.0
1995-08-22,1995-08-25,1995-08-23,303.999240506329,4,NERC18,68.5654008438819,2.0
1995-08-27,1995-08-30,1995-08-30,305.446392405063,4,NERC18,60.337552742616,301.0
1996-06-26,1996-06-30,1996-06-28,305.345443037975,5,NERC18,96.6244725738397,5.0
1996-07-05,1996-07-06,1996-07-06,302.554915611814,2,NERC18,34.5991561181435,11.0
1996-07-17,1996-07-19,1996-07-18,305.172974683544,3,NERC18,74.8945147679325,15.0
1996-08-03,1996-08-07,1996-08-06,305.874261603376,5,NERC18,88.6075949367089,28.0
1996-09-04,1996-09-06,1996-09-05,305.408945147679,3,NERC18,66.2447257383966,289.0
1997-06-22,1997-06-24,1997-06-23,303.914050632911,3,NERC18,75.9493670886076,3.0
1997-06-27,1997-07-01,1997-06-28,304.553481012658,5,NERC18,81.8565400843882,10.0
1997-07-11,1997-07-20,1997-07-16,307.183670886076,10,NERC18,96.4135021097047,4.0
1997-07-24,1997-07-27,1997-07-26,306.901708860759,4,NERC18,92.8270042194093,6.0
1997-08-02,1997-08-04,1997-08-02,305.577848101266,3,NERC18,86.7088607594937,20.0
1997-08-24,1997-08-27,1997-08-26,304.78635021097,4,NERC18,64.1350210970464,2.0
