model,model_type,nse,kge,rmse,mae,skill_vs_clim,parse_success_rate,n_years
Climatology (Week 3),ML,-0.031213022671805923,-0.41457462526368194,8488.058392186442,7078.500000000001,,1.0,6
MLR (Week 3),ML,0.7671177964871955,0.7405147893752664,4033.6881101834692,3411.8051416088842,0.7741667352983752,1.0,6
XGBoost (Week 3),ML,0.4551807798484826,0.5010201011178392,6169.64782272846,5016.067708333335,0.4716715090157354,1.0,6
gemma-3-12b-it,LLM,0.3349083190987928,0.4730644687064425,6816.711624994368,6160.016666666669,0.355039486237288,1.0,6
Phi-3.5-mini-instruct,LLM,0.12389552591225517,0.4344278917442279,7823.698633745212,6988.683333333335,0.15041368288986978,1.0,6
Phi-mini-MoE-instruct,LLM,-0.5695975438400109,0.3641969691975264,10471.968311242481,8807.283333333335,-0.5220885591352269,1.0,6
