start_date,end_date,centroid_date,lowest_temperature_k,duration_days,nerc_id,spatial_coverage,inter_event_recovery_interval_days,cumulative_heat_stress_index,yearly_max_heat_wave_intensity,yearly_max_heat_wave_duration,yearly_max_heat_wave_intensity_trend,yearly_max_heat_wave_duration_trend
1980-01-26,1980-01-31,1980-01-28,256.732658543115,6,NERC,86.6666666666667,-5.0,1540.39595125869,274.498362008438,7,,
1980-01-26,1980-01-31,1980-01-27,256.815153403712,6,NERC,50.0,1.0,3081.2868716809617,274.498362008438,7,,
1980-02-01,1980-02-05,1980-02-02,260.959951326255,5,NERC,83.6909871244635,-4.0,4386.086628312237,274.498362008438,7,,
1980-02-01,1980-02-05,1980-02-02,265.683429473681,5,NERC,64.0495867768595,-4.0,5714.503775680641,274.498362008438,7,,
1980-02-01,1980-02-05,1980-02-01,256.530138643466,5,NERC,73.9669421487603,-3.0,6997.154468897972,274.498362008438,7,,
1980-02-02,1980-02-08,1980-02-02,274.328018588722,7,NERC,70.1754385964912,3.0,8917.450599019026,274.498362008438,7,,
1980-02-11,1980-02-13,1980-02-12,262.191179469562,3,NERC,46.6942148760331,16.0,9704.024137427712,274.498362008438,7,,
1980-02-29,1980-03-02,1980-02-29,246.017993365743,3,NERC,40.9282700421941,-2.0,10442.078117524941,274.498362008438,7,,
1980-02-29,1980-03-03,1980-03-01,252.403821882736,4,NERC,73.134328358209,-3.0,11451.693405055885,274.498362008438,7,,
1980-02-29,1980-03-03,1980-03-01,253.720975229971,4,NERC,91.2698412698413,-3.0,12466.577305975768,274.498362008438,7,,
1980-02-29,1980-03-03,1980-03-02,250.425888666473,4,NERC,100.0,-3.0,13468.28086064166,274.498362008438,7,,
1980-02-29,1980-03-03,1980-03-01,251.526892023983,4,NERC,93.4426229508197,-2.0,14474.388428737593,274.498362008438,7,,
1980-03-01,1980-03-03,1980-03-02,264.707198163584,3,NERC,85.8024691358025,-2.0,15268.510023228344,274.498362008438,7,,
1980-03-01,1980-03-03,1980-03-02,256.317689276639,3,NERC,45.625,-2.0,16037.463091058262,274.498362008438,7,,
1980-03-01,1980-03-04,1980-03-03,253.369277921561,4,NERC,92.5619834710744,-3.0,17050.940202744507,274.498362008438,7,,
1980-03-01,1980-03-04,1980-03-03,256.970960267018,4,NERC,96.137339055794,-2.0,18078.82404381258,274.498362008438,7,,
1980-03-01,1980-03-03,1980-03-02,266.114670468052,3,NERC,71.8085106382979,-2.0,18877.168055216735,274.498362008438,7,,
1980-03-02,1980-03-04,1980-03-03,261.346733237179,3,NERC,89.6694214876033,26.0,19661.20825492827,274.498362008438,7,,
1980-03-30,1980-04-01,1980-04-01,269.984390847616,3,NERC,49.7777777777778,0.0,20471.161427471117,274.498362008438,7,,
1980-04-01,1980-04-04,1980-04-03,264.511977419548,4,NERC,48.8372093023256,9.0,21529.20933714931,274.498362008438,7,,
1980-04-13,1980-04-15,1980-04-14,272.682830462102,3,NERC,46.25,-2.0,22347.257828535618,274.498362008438,7,,
1980-04-13,1980-04-15,1980-04-14,274.498362008438,3,NERC,67.5531914893617,-1.0,23170.75291456093,274.498362008438,7,,
1980-04-14,1980-04-16,1980-04-16,271.971338510951,3,NERC,20.1342281879195,21.0,23986.666930093783,274.498362008438,7,,
1980-05-07,1980-05-09,1980-05-08,271.723841716681,3,NERC,39.0295358649789,141.0,24801.838455243826,274.498362008438,7,,
1980-09-27,1980-09-29,1980-09-29,274.467424892707,3,NERC,61.1940298507463,5.0,25625.24072992195,274.498362008438,7,,
1980-10-04,1980-10-06,1980-10-06,273.596166151556,3,NERC,58.2644628099174,23.0,26446.029228376618,274.498362008438,7,,
1980-10-29,1980-10-31,1980-10-30,273.625273065475,3,NERC,51.0638297872341,16.0,27266.90504757304,274.498362008438,7,,
1980-11-16,1980-11-19,1980-11-18,273.162936803414,4,NERC,86.3636363636364,-1.0,28359.5567947867,274.498362008438,7,,
1980-11-18,1980-11-20,1980-11-19,272.822515696566,3,NERC,54.2553191489362,-1.0,29178.024341876397,274.498362008438,7,,
1980-11-19,1980-11-21,1980-11-20,262.604703780644,3,NERC,46.2686567164179,15.0,29965.838453218326,274.498362008438,7,,
1980-12-06,1980-12-08,1980-12-07,274.426594060363,3,NERC,81.4814814814815,-1.0,30789.118235399415,274.498362008438,7,,
1980-12-07,1980-12-09,1980-12-07,262.564515058366,3,NERC,68.8888888888889,11.0,31576.811780574513,274.498362008438,7,,
1980-12-20,1980-12-22,1980-12-20,250.921285808622,3,NERC,85.0746268656716,-2.0,32329.57563800038,274.498362008438,7,,
1980-12-20,1980-12-22,1980-12-21,267.976180781573,3,NERC,72.2222222222222,-2.0,33133.5041803451,274.498362008438,7,,
1980-12-20,1980-12-22,1980-12-20,255.918295524186,3,NERC,90.1639344262295,3.0,33901.25906691766,274.498362008438,7,,
1980-12-25,1980-12-27,1980-12-26,261.796533792717,3,NERC,54.0772532188841,-2.0,34686.648668295806,274.498362008438,7,,
1980-12-25,1980-12-27,1980-12-25,266.910670825167,3,NERC,42.9752066115703,-2.0,35487.38068077131,274.498362008438,7,,
1980-12-25,1980-12-27,1980-12-25,246.638262109735,3,NERC,83.6065573770492,7.0,36227.29546710051,274.498362008438,7,,
1981-01-03,1981-01-06,1981-01-05,245.507405071976,4,NERC,94.0298507462687,-3.0,982.029620287904,274.627323556872,6,0.1289615484340061,-1.0
1981-01-03,1981-01-06,1981-01-04,249.933993046894,4,NERC,98.3606557377049,-2.0,1981.76559247548,274.627323556872,6,0.1289615484340061,-1.0
1981-01-03,1981-01-05,1981-01-04,251.575281666393,3,NERC,41.2698412698413,-2.0,2736.491437474659,274.627323556872,6,0.1289615484340061,-1.0
1981-01-04,1981-01-06,1981-01-05,260.485284146945,3,NERC,47.2103004291846,2.0,3517.947289915494,274.627323556872,6,0.1289615484340061,-1.0
1981-01-08,1981-01-13,1981-01-12,248.576790728664,6,NERC,75.7936507936508,-3.0,5009.408034287478,274.627323556872,6,0.1289615484340061,-1.0
1981-01-10,1981-01-12,1981-01-12,254.448553077644,3,NERC,49.1735537190083,-1.0,5772.75369352041,274.627323556872,6,0.1289615484340061,-1.0
1981-01-11,1981-01-14,1981-01-13,269.385064752285,4,NERC,96.4912280701754,-3.0,6850.29395252955,274.627323556872,6,0.1289615484340061,-1.0
1981-01-11,1981-01-13,1981-01-12,259.938641335246,3,NERC,75.1072961373391,-2.0,7630.109876535288,274.627323556872,6,0.1289615484340061,-1.0
1981-01-11,1981-01-14,1981-01-12,247.863416568049,4,NERC,96.7213114754098,-3.0,8621.563542807484,274.627323556872,6,0.1289615484340061,-1.0
1981-01-11,1981-01-13,1981-01-12,262.646408324648,3,NERC,38.4297520661157,-2.0,9409.502767781429,274.627323556872,6,0.1289615484340061,-1.0
1981-01-11,1981-01-14,1981-01-12,247.395416876304,4,NERC,85.0746268656716,20.0,10399.084435286644,274.627323556872,6,0.1289615484340061,-1.0
1981-02-03,1981-02-05,1981-02-03,259.937478205166,3,NERC,55.7851239669422,-2.0,11178.896869902142,274.627323556872,6,0.1289615484340061,-1.0
1981-02-03,1981-02-05,1981-02-05,252.732745175589,3,NERC,45.4365079365079,-2.0,11937.095105428909,274.627323556872,6,0.1289615484340061,-1.0
1981-02-03,1981-02-05,1981-02-03,266.592972030383,3,NERC,56.198347107438,-2.0,12736.874021520058,274.627323556872,6,0.1289615484340061,-1.0
1981-02-03,1981-02-05,1981-02-04,274.111953103757,3,NERC,85.9649122807018,-2.0,13559.20988083133,274.627323556872,6,0.1289615484340061,-1.0
1981-02-03,1981-02-06,1981-02-05,263.427440137305,4,NERC,71.2446351931331,5.0,14612.91964138055,274.627323556872,6,0.1289615484340061,-1.0
1981-02-11,1981-02-13,1981-02-12,266.072914693472,3,NERC,84.5679012345679,-2.0,15411.138385460965,274.627323556872,6,0.1289615484340061,-1.0
1981-02-11,1981-02-13,1981-02-12,256.431153713259,3,NERC,52.4793388429752,33.0,16180.431846600743,274.627323556872,6,0.1289615484340061,-1.0
1981-03-18,1981-03-20,1981-03-18,259.616490191658,3,NERC,83.6065573770492,51.0,16959.281317175715,274.627323556872,6,0.1289615484340061,-1.0
1981-05-10,1981-05-12,1981-05-11,272.531902497212,3,NERC,36.0759493670886,127.0,17776.877024667352,274.627323556872,6,0.1289615484340061,-1.0
1981-09-16,1981-09-18,1981-09-17,274.501946892758,3,NERC,49.789029535865,11.0,18600.382865345626,274.627323556872,6,0.1289615484340061,-1.0
1981-09-29,1981-10-01,1981-09-30,274.627323556872,3,NERC,60.655737704918,-2.0,19424.264836016242,274.627323556872,6,0.1289615484340061,-1.0
1981-09-29,1981-10-01,1981-09-30,273.7278972841,3,NERC,83.5820895522388,9.0,20245.448527868542,274.627323556872,6,0.1289615484340061,-1.0
1981-10-10,1981-10-13,1981-10-13,273.923713028822,4,NERC,42.6229508196721,-3.0,21341.14337998383,274.627323556872,6,0.1289615484340061,-1.0
1981-10-10,1981-10-13,1981-10-11,273.859008317445,4,NERC,68.6567164179105,-1.0,22436.57941325361,274.627323556872,6,0.1289615484340061,-1.0
1981-10-12,1981-10-14,1981-10-13,273.954777750796,3,NERC,59.5555555555556,8.0,23258.443746505996,274.627323556872,6,0.1289615484340061,-1.0
1981-10-22,1981-10-24,1981-10-24,267.264382163963,3,NERC,23.8396624472574,-1.0,24060.236892997887,274.627323556872,6,0.1289615484340061,-1.0
1981-10-23,1981-10-25,1981-10-24,267.989365397079,3,NERC,46.9798657718121,46.0,24864.204989189122,274.627323556872,6,0.1289615484340061,-1.0
1981-12-10,1981-12-12,1981-12-11,271.63262352188,3,NERC,91.2280701754386,-2.0,25679.102859754763,274.627323556872,6,0.1289615484340061,-1.0
1981-12-10,1981-12-13,1981-12-11,266.462265043996,4,NERC,64.3776824034335,5.0,26744.951919930747,274.627323556872,6,0.1289615484340061,-1.0
1981-12-18,1981-12-21,1981-12-20,264.10370245256,4,NERC,88.8429752066116,-2.0,27801.36672974099,274.627323556872,6,0.1289615484340061,-1.0
1981-12-18,1981-12-20,1981-12-19,251.750934760494,3,NERC,62.4161073825503,-2.0,28556.61953402247,274.627323556872,6,0.1289615484340061,-1.0
1981-12-18,1981-12-20,1981-12-19,266.969181304349,3,NERC,75.9259259259259,-2.0,29357.527077935516,274.627323556872,6,0.1289615484340061,-1.0
1981-12-18,1981-12-20,1981-12-19,258.397708718951,3,NERC,90.495867768595,-2.0,30132.72020409237,274.627323556872,6,0.1289615484340061,-1.0
1981-12-19,1981-12-21,1981-12-21,258.725449469469,3,NERC,81.9672131147541,-2.0,30908.896552500777,274.627323556872,6,0.1289615484340061,-1.0
1981-12-19,1981-12-21,1981-12-20,257.358247393315,3,NERC,44.4444444444444,-2.0,31680.971294680723,274.627323556872,6,0.1289615484340061,-1.0
1981-12-19,1981-12-21,1981-12-20,271.314479748971,3,NERC,92.9824561403509,-2.0,32494.914733927635,274.627323556872,6,0.1289615484340061,-1.0
1981-12-19,1981-12-21,1981-12-21,263.456028960962,3,NERC,75.9656652360515,15.0,33285.28282081052,274.627323556872,6,0.1289615484340061,-1.0
1982-01-05,1982-01-08,1982-01-06,255.189070455449,4,NERC,82.6666666666667,-2.0,1020.756281821796,274.934426145916,9,0.3071025890440069,3.0
1982-01-06,1982-01-08,1982-01-07,273.195679708926,3,NERC,81.4814814814815,-1.0,1840.3433209485738,274.934426145916,9,0.3071025890440069,3.0
1982-01-07,1982-01-12,1982-01-10,234.288298212745,6,NERC,65.4008438818566,-4.0,3246.073110225044,274.934426145916,9,0.3071025890440069,3.0
1982-01-08,1982-01-12,1982-01-10,241.158890409209,5,NERC,52.3489932885906,-2.0,4451.867562271089,274.934426145916,9,0.3071025890440069,3.0
1982-01-10,1982-01-13,1982-01-11,251.779668686225,4,NERC,90.1639344262295,-3.0,5458.986237015989,274.934426145916,9,0.3071025890440069,3.0
1982-01-10,1982-01-12,1982-01-11,253.882399481162,3,NERC,78.9256198347108,-2.0,6220.633435459475,274.934426145916,9,0.3071025890440069,3.0
1982-01-10,1982-01-12,1982-01-11,257.276987297926,3,NERC,79.6296296296296,-2.0,6992.464397353253,274.934426145916,9,0.3071025890440069,3.0
1982-01-10,1982-01-12,1982-01-11,254.752695595826,3,NERC,95.2789699570815,-2.0,7756.722484140731,274.934426145916,9,0.3071025890440069,3.0
1982-01-10,1982-01-12,1982-01-11,248.77261115556,3,NERC,85.5371900826446,-2.0,8503.04031760741,274.934426145916,9,0.3071025890440069,3.0
1982-01-10,1982-01-14,1982-01-11,259.91032951541,5,NERC,67.5531914893617,0.0,9802.591965184462,274.934426145916,9,0.3071025890440069,3.0
1982-01-10,1982-01-12,1982-01-11,247.351178366557,3,NERC,85.1190476190476,-2.0,10544.645500284132,274.934426145916,9,0.3071025890440069,3.0
1982-01-10,1982-01-13,1982-01-12,250.259485534012,4,NERC,77.6119402985075,-3.0,11545.68344242018,274.934426145916,9,0.3071025890440069,3.0
1982-01-14,1982-01-17,1982-01-17,241.74403881426,4,NERC,46.9798657718121,-2.0,12512.65959767722,274.934426145916,9,0.3071025890440069,3.0
1982-01-15,1982-01-18,1982-01-17,242.067358401115,4,NERC,63.0952380952381,-3.0,13480.92903128168,274.934426145916,9,0.3071025890440069,3.0
1982-01-15,1982-01-18,1982-01-17,248.319777080951,4,NERC,72.3140495867769,-1.0,14474.208139605484,274.934426145916,9,0.3071025890440069,3.0
1982-01-17,1982-01-19,1982-01-18,245.958992925796,3,NERC,77.6119402985075,-2.0,15212.085118382873,274.934426145916,9,0.3071025890440069,3.0
1982-01-17,1982-01-19,1982-01-18,248.753807291382,3,NERC,67.2131147540984,2.0,15958.346540257018,274.934426145916,9,0.3071025890440069,3.0
1982-01-21,1982-01-23,1982-01-23,249.749055512934,3,NERC,70.1492537313433,1.0,16707.59370679582,274.934426145916,9,0.3071025890440069,3.0
1982-01-24,1982-01-27,1982-01-26,251.345819015372,4,NERC,62.1031746031746,-2.0,17712.976982857308,274.934426145916,9,0.3071025890440069,3.0
1982-01-25,1982-01-28,1982-01-27,249.249733441347,4,NERC,79.1044776119403,6.0,18709.975916622694,274.934426145916,9,0.3071025890440069,3.0
1982-01-25,1982-01-27,1982-01-27,249.821893522607,3,NERC,85.2459016393443,-2.0,19459.44159719052,274.934426145916,9,0.3071025890440069,3.0
1982-02-03,1982-02-06,1982-02-06,237.21036535134,4,NERC,41.9831223628692,-2.0,20408.283058595876,274.934426145916,9,0.3071025890440069,3.0
1982-02-04,1982-02-07,1982-02-06,246.718997537081,4,NERC,47.6510067114094,-3.0,21395.1590487442,274.934426145916,9,0.3071025890440069,3.0
1982-02-04,1982-02-06,1982-02-05,246.680678327822,3,NERC,83.7209302325582,-2.0,22135.20108372767,274.934426145916,9,0.3071025890440069,3.0
1982-02-04,1982-02-11,1982-02-05,259.075252805608,8,NERC,83.1111111111111,22.0,24207.80310617253,274.934426145916,9,0.3071025890440069,3.0
1982-03-05,1982-03-09,1982-03-07,246.871937781741,5,NERC,48.1012658227848,-2.0,25442.162795081236,274.934426145916,9,0.3071025890440069,3.0
1982-03-07,1982-03-09,1982-03-07,260.385759561023,3,NERC,45.6375838926175,10.0,26223.320073764306,274.934426145916,9,0.3071025890440069,3.0
1982-03-19,1982-03-21,1982-03-19,274.913972541172,3,NERC,68.1818181818182,-2.0,27048.06199138782,274.934426145916,9,0.3071025890440069,3.0
1982-03-19,1982-03-22,1982-03-21,268.929417865434,4,NERC,72.4444444444444,4.0,28123.779662849556,274.934426145916,9,0.3071025890440069,3.0
1982-03-26,1982-03-28,1982-03-28,266.931030070401,3,NERC,45.6375838926175,-2.0,28924.57275306076,274.934426145916,9,0.3071025890440069,3.0
1982-03-26,1982-03-29,1982-03-28,268.525648839341,4,NERC,50.0,-2.0,29998.675348418124,274.934426145916,9,0.3071025890440069,3.0
1982-03-27,1982-03-29,1982-03-28,260.084730240963,3,NERC,86.8852459016394,-2.0,30778.929539141012,274.934426145916,9,0.3071025890440069,3.0
1982-03-27,1982-03-29,1982-03-28,262.585690713936,3,NERC,29.1666666666667,-2.0,31566.68661128282,274.934426145916,9,0.3071025890440069,3.0
1982-03-27,1982-03-29,1982-03-28,269.224527686188,3,NERC,75.5364806866953,-2.0,32374.360194341385,274.934426145916,9,0.3071025890440069,3.0
1982-03-27,1982-03-29,1982-03-28,256.474440049867,3,NERC,71.6417910447761,5.0,33143.783514490984,274.934426145916,9,0.3071025890440069,3.0
1982-04-03,1982-04-11,1982-04-06,255.687056971269,9,NERC,73.2067510548523,-7.0,35444.96702723241,274.934426145916,9,0.3071025890440069,3.0
1982-04-04,1982-04-12,1982-04-07,260.14664411571,9,NERC,91.8650793650794,-7.0,37786.2868242738,274.934426145916,9,0.3071025890440069,3.0
1982-04-05,1982-04-11,1982-04-07,260.073640890578,7,NERC,97.0149253731343,-6.0,39606.80231050784,274.934426145916,9,0.3071025890440069,3.0
1982-04-05,1982-04-11,1982-04-07,260.231579504124,7,NERC,100.0,-5.0,41428.42336703671,274.934426145916,9,0.3071025890440069,3.0
1982-04-06,1982-04-11,1982-04-06,265.100443227179,6,NERC,71.8120805369128,-4.0,43019.026026399784,274.934426145916,9,0.3071025890440069,3.0
1982-04-07,1982-04-09,1982-04-08,269.091923192743,3,NERC,66.6666666666667,9.0,43826.30179597801,274.934426145916,9,0.3071025890440069,3.0
1982-04-18,1982-04-20,1982-04-19,268.907495038208,3,NERC,52.4444444444445,-1.0,44633.024281092636,274.934426145916,9,0.3071025890440069,3.0
1982-04-19,1982-04-22,1982-04-21,265.787460723818,4,NERC,56.9767441860465,170.0,45696.17412398791,274.934426145916,9,0.3071025890440069,3.0
1982-10-09,1982-10-12,1982-10-11,269.740810059404,4,NERC,59.3023255813954,8.0,46775.13736422553,274.934426145916,9,0.3071025890440069,3.0
1982-10-20,1982-10-24,1982-10-21,273.329942633078,5,NERC,61.5625,-3.0,48141.787077390916,274.934426145916,9,0.3071025890440069,3.0
1982-10-21,1982-10-25,1982-10-21,270.221284513382,5,NERC,99.3288590604027,-3.0,49492.89349995783,274.934426145916,9,0.3071025890440069,3.0
1982-10-22,1982-10-24,1982-10-24,271.987326964467,3,NERC,71.0743801652893,-2.0,50308.85548085123,274.934426145916,9,0.3071025890440069,3.0
1982-10-22,1982-10-24,1982-10-23,270.64769694385,3,NERC,69.6428571428571,-2.0,51120.798571682775,274.934426145916,9,0.3071025890440069,3.0
1982-10-22,1982-10-24,1982-10-23,271.118304520668,3,NERC,77.0491803278689,-2.0,51934.15348524478,274.934426145916,9,0.3071025890440069,3.0
1982-10-22,1982-10-25,1982-10-23,271.804060555351,4,NERC,71.6417910447761,10.0,53021.36972746618,274.934426145916,9,0.3071025890440069,3.0
1982-11-04,1982-11-06,1982-11-05,268.440598798895,3,NERC,46.3087248322148,-2.0,53826.69152386287,274.934426145916,9,0.3071025890440069,3.0
1982-11-04,1982-11-06,1982-11-05,274.934426145916,3,NERC,63.5802469135803,-1.0,54651.494802300615,274.934426145916,9,0.3071025890440069,3.0
1982-11-05,1982-11-07,1982-11-06,272.086112883112,3,NERC,19.8347107438017,4.0,55467.75314094996,274.934426145916,9,0.3071025890440069,3.0
1982-11-11,1982-11-14,1982-11-14,267.908712505858,4,NERC,64.0,-2.0,56539.38799097339,274.934426145916,9,0.3071025890440069,3.0
1982-11-12,1982-11-15,1982-11-13,257.971545528981,4,NERC,42.4050632911392,-2.0,57571.27417308931,274.934426145916,9,0.3071025890440069,3.0
1982-11-13,1982-11-16,1982-11-16,273.973255720581,4,NERC,72.8395061728395,-3.0,58667.16719597163,274.934426145916,9,0.3071025890440069,3.0
1982-11-13,1982-11-16,1982-11-13,268.466540397129,4,NERC,42.5619834710744,-3.0,59741.03335756015,274.934426145916,9,0.3071025890440069,3.0
1982-11-13,1982-11-16,1982-11-13,265.683126900075,4,NERC,52.3489932885906,6.0,60803.76586516045,274.934426145916,9,0.3071025890440069,3.0
1982-11-22,1982-11-25,1982-11-24,265.911068421682,4,NERC,70.2222222222222,33.0,61867.410138847175,274.934426145916,9,0.3071025890440069,3.0
1982-12-28,1982-12-31,1982-12-29,254.751555405832,4,NERC,70.9302325581395,69.0,62886.4163604705,274.934426145916,9,0.3071025890440069,3.0
1983-03-10,1983-03-12,1983-03-11,272.192337950245,3,NERC,82.7160493827161,7.0,816.577013850735,274.978573441867,9,0.04414729595100653,0.0
1983-03-19,1983-03-23,1983-03-21,260.084729137202,5,NERC,76.7441860465116,-2.0,2117.000659536745,274.978573441867,9,0.04414729595100653,0.0
1983-03-21,1983-03-25,1983-03-22,265.445354748458,5,NERC,57.7181208053691,-2.0,3444.227433279035,274.978573441867,9,0.04414729595100653,0.0
1983-03-23,1983-03-26,1983-03-24,263.760106019177,4,NERC,57.9365079365079,-2.0,4499.267857355742,274.978573441867,9,0.04414729595100653,0.0
1983-03-24,1983-03-26,1983-03-24,263.882832314702,3,NERC,80.327868852459,-2.0,5290.9163542998485,274.978573441867,9,0.04414729595100653,0.0
1983-03-24,1983-03-26,1983-03-25,262.291596590058,3,NERC,76.1194029850746,9.0,6077.791144070023,274.978573441867,9,0.04414729595100653,0.0
1983-04-04,1983-04-09,1983-04-06,259.674560672437,6,NERC,90.6976744186047,3.0,7635.838508104645,274.978573441867,9,0.04414729595100653,0.0
