start_date,end_date,centroid_date,lowest_temperature_k,duration_days,nerc_id,spatial_coverage
1980-01-05,1980-01-06,1980-01-06,271.178553719008,2,NERC,53.7190082644628
1980-01-06,1980-01-11,1980-01-11,258.542711111111,6,NERC,63.5555555555556
1980-01-06,1980-01-07,1980-01-06,274.223859649123,2,NERC,85.9649122807018
1980-01-07,1980-01-08,1980-01-07,258.876162790698,2,NERC,65.1162790697675
1980-01-07,1980-01-09,1980-01-09,247.717383966245,3,NERC,68.1434599156118
1980-01-18,1980-01-20,1980-01-19,271.138148148148,3,NERC,61.1111111111111
1980-01-19,1980-01-20,1980-01-19,261.096577777778,2,NERC,68.4444444444445
1980-01-24,1980-01-25,1980-01-24,256.823770491803,2,NERC,62.2950819672131
1980-01-24,1980-01-25,1980-01-25,255.055223880597,2,NERC,59.7014925373134
1980-01-26,1980-01-31,1980-01-28,253.459955555556,6,NERC,88.8888888888889
1980-01-26,1980-02-01,1980-01-31,247.651476793249,7,NERC,90.7172995780591
1980-01-26,1980-01-31,1980-01-31,257.911860465116,6,NERC,70.9302325581395
1980-01-27,1980-02-02,1980-01-31,257.072375,7,NERC,79.375
1980-01-28,1980-02-04,1980-02-01,252.215167785235,8,NERC,100.0
1980-01-28,1980-01-30,1980-01-30,271.135555555556,3,NERC,72.2222222222222
1980-01-29,1980-02-05,1980-02-01,255.67130952381,8,NERC,98.4126984126984
1980-01-29,1980-02-05,1980-02-01,256.468512396694,8,NERC,100.0
1980-01-30,1980-02-13,1980-02-02,260.991459227468,15,NERC,99.5708154506438
1980-01-30,1980-02-06,1980-02-01,252.711475409836,8,NERC,96.7213114754098
1980-01-30,1980-02-05,1980-01-31,252.739701492537,7,NERC,92.5373134328358
1980-01-31,1980-02-03,1980-02-01,264.971975308642,4,NERC,94.4444444444444
1980-01-31,1980-02-02,1980-02-01,271.115957446809,3,NERC,84.5744680851064
1980-02-01,1980-02-08,1980-02-02,266.707644628099,8,NERC,100.0
1980-02-01,1980-02-08,1980-02-02,272.71298245614,8,NERC,98.2456140350877
1980-02-07,1980-02-08,1980-02-07,264.798925619835,2,NERC,71.900826446281
1980-02-08,1980-02-12,1980-02-10,259.87940625,5,NERC,80.3125
1980-02-08,1980-02-09,1980-02-08,257.986395348837,2,NERC,75.5813953488372
1980-02-09,1980-02-10,1980-02-09,268.3125,2,NERC,70.4545454545455
1980-02-09,1980-02-11,1980-02-10,268.83170212766,3,NERC,76.5957446808511
1980-02-10,1980-02-13,1980-02-12,262.359090909091,4,NERC,95.4545454545454
1980-02-10,1980-02-13,1980-02-10,266.878950617284,4,NERC,75.9259259259259
1980-02-10,1980-02-13,1980-02-12,252.902214765101,4,NERC,95.3020134228188
1980-02-11,1980-02-12,1980-02-11,270.930743801653,2,NERC,53.7190082644628
1980-02-12,1980-02-13,1980-02-12,259.489087301587,2,NERC,45.8333333333333
1980-02-14,1980-02-15,1980-02-14,263.710133333333,2,NERC,42.6666666666667
1980-02-16,1980-02-18,1980-02-17,253.201476510067,3,NERC,76.510067114094
1980-02-16,1980-02-17,1980-02-16,246.401033755274,2,NERC,86.2869198312236
1980-02-16,1980-02-17,1980-02-17,259.6631875,2,NERC,77.1875
1980-02-17,1980-02-18,1980-02-17,253.396229508197,2,NERC,81.9672131147541
1980-02-17,1980-02-18,1980-02-18,266.48635193133,2,NERC,73.8197424892704
1980-02-17,1980-02-18,1980-02-17,255.954484126984,2,NERC,71.0317460317461
1980-02-17,1980-02-18,1980-02-17,266.065802469136,2,NERC,80.8641975308642
1980-02-17,1980-02-18,1980-02-17,260.913595041322,2,NERC,91.7355371900827
1980-02-17,1980-02-18,1980-02-17,268.783989361702,2,NERC,68.6170212765958
1980-02-17,1980-02-18,1980-02-17,269.083719008264,2,NERC,73.5537190082645
1980-02-26,1980-03-03,1980-03-01,247.519344262295,7,NERC,91.8032786885246
1980-02-29,1980-03-03,1980-03-01,250.688208955224,4,NERC,77.6119402985075
1980-02-29,1980-03-02,1980-03-01,245.837742616034,3,NERC,84.5991561181435
1980-02-29,1980-03-03,1980-03-02,253.794900793651,4,NERC,98.015873015873
1980-02-29,1980-03-03,1980-03-02,251.381409395973,4,NERC,99.3288590604027
1980-03-01,1980-03-03,1980-03-02,265.950265957447,3,NERC,81.9148936170213
1980-03-01,1980-03-03,1980-03-03,253.826818181818,3,NERC,100.0
1980-03-01,1980-03-04,1980-03-03,257.405622317597,4,NERC,98.7124463519313
1980-03-01,1980-03-02,1980-03-02,257.45634375,2,NERC,82.1875
1980-03-02,1980-03-04,1980-03-03,262.670826446281,3,NERC,99.1735537190083
1980-03-02,1980-03-03,1980-03-02,263.252222222222,2,NERC,94.4444444444444
1980-03-03,1980-03-04,1980-03-03,270.225263157895,2,NERC,96.4912280701754
1980-03-12,1980-03-13,1980-03-13,254.865223880597,2,NERC,55.2238805970149
1980-11-17,1980-11-18,1980-11-17,268.720227272727,2,NERC,70.4545454545455
1980-11-17,1980-11-19,1980-11-18,270.98664893617,3,NERC,61.1702127659575
1980-11-25,1980-11-26,1980-11-26,269.031590909091,2,NERC,52.2727272727273
1980-11-26,1980-11-28,1980-11-27,271.800585106383,3,NERC,79.2553191489362
1980-12-06,1980-12-09,1980-12-07,271.272777777778,4,NERC,57.4074074074074
1980-12-07,1980-12-09,1980-12-07,261.089244444444,3,NERC,72.8888888888889
1980-12-19,1980-12-21,1980-12-20,254.981879194631,3,NERC,100.0
1980-12-19,1980-12-20,1980-12-20,251.053860759494,2,NERC,66.4556962025316
1980-12-20,1980-12-22,1980-12-21,260.749049586777,3,NERC,99.1735537190083
1980-12-20,1980-12-22,1980-12-20,257.070853174603,3,NERC,93.8492063492064
1980-12-20,1980-12-22,1980-12-20,249.185223880597,3,NERC,88.0597014925373
1980-12-20,1980-12-22,1980-12-21,271.110957446809,3,NERC,93.6170212765957
1980-12-20,1980-12-21,1980-12-20,263.11484375,2,NERC,81.25
1980-12-20,1980-12-22,1980-12-21,265.643888888889,3,NERC,88.8888888888889
1980-12-20,1980-12-22,1980-12-20,252.908032786885,3,NERC,86.8852459016394
1980-12-20,1980-12-22,1980-12-21,264.519527896996,3,NERC,92.274678111588
1980-12-21,1980-12-22,1980-12-21,271.474338842975,2,NERC,78.5123966942149
1980-12-24,1980-12-25,1980-12-25,249.443628691983,2,NERC,44.0928270042194
1980-12-25,1980-12-26,1980-12-25,266.464320987654,2,NERC,78.3950617283951
1980-12-25,1980-12-26,1980-12-25,260.377975206612,2,NERC,90.495867768595
1980-12-25,1980-12-27,1980-12-26,262.079227467811,3,NERC,93.5622317596567
1980-12-25,1980-12-26,1980-12-25,242.534776119403,2,NERC,94.0298507462687
1980-12-25,1980-12-27,1980-12-25,241.832295081967,3,NERC,91.8032786885246
1980-12-25,1980-12-28,1980-12-25,268.318636363636,4,NERC,97.1074380165289
1980-12-25,1980-12-27,1980-12-25,252.995119047619,3,NERC,89.2857142857143
1980-12-25,1980-12-29,1980-12-26,274.702807017544,5,NERC,96.4912280701754
1981-01-03,1981-01-14,1981-01-12,249.450178571429,12,NERC,99.6031746031746
1981-01-03,1981-01-06,1981-01-04,243.176885245902,4,NERC,100.0
1981-01-03,1981-01-06,1981-01-05,243.101194029851,4,NERC,95.5223880597015
1981-01-04,1981-01-13,1981-01-12,254.627727272727,10,NERC,99.1735537190083
1981-01-04,1981-01-05,1981-01-04,255.618724832215,2,NERC,98.6577181208054
1981-01-04,1981-01-06,1981-01-05,260.141545064378,3,NERC,89.2703862660944
1981-01-05,1981-01-06,1981-01-05,267.070454545455,2,NERC,84.7107438016529
1981-01-07,1981-01-12,1981-01-10,252.96288590604,6,NERC,94.6308724832215
1981-01-08,1981-01-14,1981-01-13,268.570877192982,7,NERC,98.2456140350877
1981-01-08,1981-01-14,1981-01-12,259.570042918455,7,NERC,100.0
1981-01-08,1981-01-14,1981-01-12,245.275737704918,7,NERC,100.0
1981-01-08,1981-01-14,1981-01-12,246.408805970149,7,NERC,97.0149253731343
1981-01-08,1981-01-14,1981-01-12,264.14520661157,7,NERC,100.0
