start_date,end_date,centroid_date,lowest_temperature_k,duration_days,nerc_id,spatial_coverage
1980-01-26,1980-01-30,1980-01-28,253.459955555556,5,NERC,69.7777777777778
1980-01-31,1980-02-01,1980-01-31,257.072375,2,NERC,51.5625
1980-02-01,1980-02-02,1980-02-01,256.468512396694,2,NERC,85.9504132231405
1980-02-01,1980-02-02,1980-02-01,264.971975308642,2,NERC,54.320987654321
1980-02-01,1980-02-02,1980-02-02,266.707644628099,2,NERC,75.6198347107438
1980-02-01,1980-02-04,1980-02-02,260.991459227468,4,NERC,81.9742489270386
1980-02-02,1980-02-04,1980-02-02,272.71298245614,3,NERC,59.6491228070175
1980-02-29,1980-03-02,1980-03-01,247.519344262295,3,NERC,81.9672131147541
1980-03-01,1980-03-02,1980-03-02,253.794900793651,2,NERC,52.1825396825397
1980-03-01,1980-03-03,1980-03-03,257.405622317597,3,NERC,85.4077253218884
1980-03-02,1980-03-03,1980-03-03,262.670826446281,2,NERC,80.9917355371901
1980-03-02,1980-03-03,1980-03-03,253.826818181818,2,NERC,78.9256198347108
1980-12-20,1980-12-21,1980-12-21,265.643888888889,2,NERC,59.8765432098766
1980-12-25,1980-12-26,1980-12-25,242.534776119403,2,NERC,68.6567164179105
1981-01-03,1981-01-05,1981-01-04,243.176885245902,3,NERC,81.9672131147541
1981-01-03,1981-01-05,1981-01-05,243.101194029851,3,NERC,80.5970149253731
1981-01-04,1981-01-05,1981-01-04,251.591805555556,2,NERC,67.4603174603175
1981-01-10,1981-01-12,1981-01-12,249.450178571429,3,NERC,80.7539682539683
1981-01-11,1981-01-13,1981-01-12,259.570042918455,3,NERC,81.5450643776824
1981-01-11,1981-01-13,1981-01-12,246.408805970149,3,NERC,79.1044776119403
1981-01-11,1981-01-12,1981-01-12,254.627727272727,2,NERC,72.7272727272727
1981-01-11,1981-01-14,1981-01-13,268.570877192982,4,NERC,92.9824561403509
1981-01-11,1981-01-13,1981-01-12,264.14520661157,3,NERC,90.495867768595
1981-01-11,1981-01-13,1981-01-12,245.275737704918,3,NERC,90.1639344262295
1981-01-17,1981-01-18,1981-01-18,267.626652892562,2,NERC,47.1074380165289
1981-01-18,1981-01-19,1981-01-18,271.564561403509,2,NERC,52.6315789473684
1981-02-03,1981-02-04,1981-02-04,273.345087719298,2,NERC,64.9122807017544
1981-02-03,1981-02-05,1981-02-05,263.092618025751,3,NERC,56.2231759656653
1981-02-03,1981-02-05,1981-02-05,253.11121031746,3,NERC,51.5873015873016
1981-02-11,1981-02-12,1981-02-11,249.707651006711,2,NERC,58.3892617449665
1981-12-18,1981-12-19,1981-12-19,252.50389261745,2,NERC,51.006711409396
1981-12-19,1981-12-21,1981-12-20,270.79701754386,3,NERC,73.6842105263158
1981-12-19,1981-12-20,1981-12-19,258.760289256198,2,NERC,51.6528925619835
1981-12-19,1981-12-20,1981-12-20,265.621611570248,2,NERC,86.7768595041322
1982-01-06,1982-01-07,1982-01-06,253.432888888889,2,NERC,68.4444444444445
1982-01-06,1982-01-07,1982-01-07,269.467037037037,2,NERC,44.4444444444444
1982-01-09,1982-01-12,1982-01-10,234.552130801688,4,NERC,89.873417721519
1982-01-10,1982-01-12,1982-01-11,255.162644628099,3,NERC,99.1735537190083
1982-01-10,1982-01-12,1982-01-11,254.346180257511,3,NERC,95.7081545064378
1982-01-10,1982-01-12,1982-01-11,247.576865671642,3,NERC,79.1044776119403
1982-01-10,1982-01-11,1982-01-10,249.97203125,2,NERC,76.25
1982-01-10,1982-01-12,1982-01-10,246.658650793651,3,NERC,88.8888888888889
1982-01-10,1982-01-12,1982-01-11,248.525371900826,3,NERC,99.1735537190083
1982-01-10,1982-01-12,1982-01-12,247.848524590164,3,NERC,78.6885245901639
1982-01-10,1982-01-12,1982-01-11,255.194444444444,3,NERC,76.5432098765432
1982-01-10,1982-01-11,1982-01-10,241.188993288591,2,NERC,100.0
1982-01-11,1982-01-12,1982-01-12,267.904035087719,2,NERC,87.719298245614
1982-01-13,1982-01-14,1982-01-14,266.074255319149,2,NERC,59.0425531914894
1982-01-16,1982-01-17,1982-01-17,241.977852348993,2,NERC,71.8120805369128
1982-01-16,1982-01-17,1982-01-17,236.708143459916,2,NERC,67.2995780590717
1982-01-16,1982-01-17,1982-01-16,256.347125,2,NERC,45.0
1982-01-17,1982-01-18,1982-01-17,241.497658730159,2,NERC,70.0396825396825
1982-01-17,1982-01-18,1982-01-17,255.875364806867,2,NERC,63.9484978540773
1982-01-17,1982-01-18,1982-01-18,245.212786885246,2,NERC,78.6885245901639
1982-01-17,1982-01-19,1982-01-18,242.720298507463,3,NERC,68.6567164179105
1982-01-21,1982-01-22,1982-01-22,248.742950819672,2,NERC,55.7377049180328
1982-01-21,1982-01-22,1982-01-22,247.971940298507,2,NERC,65.6716417910448
1982-01-25,1982-01-27,1982-01-27,247.822131147541,3,NERC,88.5245901639344
1982-01-25,1982-01-26,1982-01-26,252.361964285714,2,NERC,60.3174603174603
1982-01-25,1982-01-27,1982-01-26,248.214029850746,3,NERC,74.6268656716418
1982-02-03,1982-02-06,1982-02-05,248.034534883721,4,NERC,94.1860465116279
1982-02-03,1982-02-06,1982-02-06,240.664578059072,4,NERC,63.0801687763713
1982-02-04,1982-02-06,1982-02-06,254.61325,3,NERC,57.5
1982-02-04,1982-02-06,1982-02-05,253.719244444444,3,NERC,70.6666666666667
1982-02-08,1982-02-09,1982-02-09,256.077511111111,2,NERC,52.4444444444445
1982-02-09,1982-02-10,1982-02-09,241.510126582278,2,NERC,47.0464135021097
1982-12-28,1982-12-30,1982-12-29,254.434651162791,3,NERC,56.9767441860465
1983-01-18,1983-01-20,1983-01-19,249.578852459016,3,NERC,73.7704918032787
1983-01-19,1983-01-20,1983-01-19,248.476268656716,2,NERC,67.1641791044776
1983-01-19,1983-01-20,1983-01-19,263.637081545064,2,NERC,58.7982832618026
1983-12-17,1983-12-20,1983-12-19,237.943417721519,4,NERC,91.7721518987342
1983-12-18,1983-12-26,1983-12-25,248.1440625,9,NERC,93.125
