start_date,end_date,centroid_date,highest_temperature_k,duration_days,nerc_id,spatial_coverage,inter_event_recovery_interval_days,cumulative_heat_stress_index,yearly_max_heat_wave_intensity,yearly_max_heat_wave_duration,yearly_max_heat_wave_intensity_trend,yearly_max_heat_wave_duration_trend
1980-06-05,1980-06-07,1980-06-07,308.617036865323,3,NERC,56.25,12.0,925.851110595969,313.075878906671,9,,
1980-06-19,1980-06-21,1980-06-20,310.985290818521,3,NERC,16.4893617021277,6.0,1858.806983051532,313.075878906671,9,,
1980-06-27,1980-06-29,1980-06-28,309.454819862269,3,NERC,47.7272727272727,6.0,2787.1714426383387,313.075878906671,9,,
1980-07-05,1980-07-07,1980-07-06,308.817300724315,3,NERC,52.8925619834711,-1.0,3713.623344811284,313.075878906671,9,,
1980-07-06,1980-07-09,1980-07-09,309.868025279759,4,NERC,79.6296296296296,-1.0,4953.09544593032,313.075878906671,9,,
1980-07-08,1980-07-10,1980-07-10,312.166690837376,3,NERC,38.125,-2.0,5889.595518442448,313.075878906671,9,,
1980-07-08,1980-07-10,1980-07-08,308.350511658875,3,NERC,51.6528925619835,-2.0,6814.647053419073,313.075878906671,9,,
1980-07-08,1980-07-12,1980-07-12,310.855111626924,5,NERC,60.4026845637584,0.0,8368.922611553693,313.075878906671,9,,
1980-07-12,1980-07-17,1980-07-13,311.181971299496,6,NERC,79.3388429752066,-3.0,10236.014439350669,313.075878906671,9,,
1980-07-12,1980-07-15,1980-07-14,309.572709440498,4,NERC,73.6842105263158,-3.0,11474.30527711266,313.075878906671,9,,
1980-07-14,1980-07-16,1980-07-14,313.075878906671,3,NERC,25.3125,-1.0,12413.532913832674,313.075878906671,9,,
1980-07-15,1980-07-19,1980-07-16,311.92839950628,5,NERC,61.7283950617284,6.0,13973.174911364074,313.075878906671,9,,
1980-07-15,1980-07-17,1980-07-16,309.962651055108,3,NERC,58.2644628099174,-2.0,14903.062864529398,313.075878906671,9,,
1980-07-25,1980-08-02,1980-07-25,308.787071713448,9,NERC,83.3333333333333,7.0,17682.14650995043,313.075878906671,9,,
1980-08-09,1980-08-12,1980-08-10,307.909882438388,4,NERC,67.3553719008265,-2.0,18913.78603970398,313.075878906671,9,,
1980-08-10,1980-08-12,1980-08-10,305.220234665673,3,NERC,66.5236051502146,6.0,19829.446743701003,313.075878906671,9,,
1980-08-18,1980-08-21,1980-08-20,308.857042659161,4,NERC,58.3892617449665,0.0,21064.874914337644,313.075878906671,9,,
1980-08-21,1980-08-23,1980-08-22,307.327344023179,3,NERC,45.6140350877193,9.0,21986.85694640718,313.075878906671,9,,
1980-09-01,1980-09-03,1980-09-02,301.414007805676,3,NERC,47.7611940298507,18.0,22891.098969824212,313.075878906671,9,,
1980-09-21,1980-09-23,1980-09-22,305.558529081046,3,NERC,47.1074380165289,-2.0,23807.774557067347,313.075878906671,9,,
1980-09-21,1980-09-23,1980-09-23,306.17767472973,3,NERC,51.931330472103,7.0,24726.307581256537,313.075878906671,9,,
1980-09-30,1980-10-05,1980-10-01,307.791708374359,6,NERC,83.3333333333333,187.0,26573.057831502694,313.075878906671,9,,
1981-04-10,1981-04-13,1981-04-13,302.984703332579,4,NERC,70.9375,-2.0,1211.938813330316,311.080787598152,12,-1.9950913085189654,3.0
1981-04-11,1981-04-13,1981-04-13,301.611585678829,3,NERC,89.261744966443,-2.0,2116.773570366803,311.080787598152,12,-1.9950913085189654,3.0
1981-04-11,1981-04-13,1981-04-13,300.067490728901,3,NERC,45.8677685950413,15.0,3016.976042553506,311.080787598152,12,-1.9950913085189654,3.0
1981-04-28,1981-05-01,1981-04-29,302.716107693972,4,NERC,75.9259259259259,-2.0,4227.840473329394,311.080787598152,12,-1.9950913085189654,3.0
1981-04-29,1981-05-01,1981-04-30,301.648074133208,3,NERC,47.7272727272727,34.0,5132.7846957290185,311.080787598152,12,-1.9950913085189654,3.0
1981-06-04,1981-06-06,1981-06-04,305.22598424737,3,NERC,57.4074074074074,-2.0,6048.462648471128,311.080787598152,12,-1.9950913085189654,3.0
1981-06-04,1981-06-06,1981-06-05,303.808987675681,3,NERC,57.9399141630901,-1.0,6959.889611498171,311.080787598152,12,-1.9950913085189654,3.0
