start_date,end_date,centroid_date,highest_temperature_k,duration_days,nerc_id,spatial_coverage,inter_event_recovery_interval_days,cumulative_heat_stress_index,yearly_max_heat_wave_intensity,yearly_max_heat_wave_duration,yearly_max_heat_wave_intensity_trend,yearly_max_heat_wave_duration_trend
1980-05-28,1980-05-30,1980-05-28,301.928365425441,3,NERC,28.9029535864979,6.0,905.785096276323,313.572744078539,9,,
1980-06-05,1980-06-07,1980-06-07,308.639379174701,3,NERC,47.1875,29.0,1831.703233800426,313.572744078539,9,,
1980-07-06,1980-07-09,1980-07-09,309.399356747834,4,NERC,76.5432098765432,-1.0,3069.3006607917623,313.572744078539,9,,
1980-07-08,1980-07-13,1980-07-08,308.631355031375,6,NERC,56.198347107438,-1.0,4921.088790980012,313.572744078539,9,,
1980-07-12,1980-07-15,1980-07-14,307.654936661694,4,NERC,70.1754385964912,-1.0,6151.708537626788,313.572744078539,9,,
1980-07-14,1980-07-16,1980-07-15,313.572744078539,3,NERC,17.1875,-1.0,7092.426769862405,313.572744078539,9,,
1980-07-15,1980-07-18,1980-07-16,308.818147809724,4,NERC,45.4545454545455,-3.0,8327.6993611013,313.572744078539,9,,
1980-07-15,1980-07-19,1980-07-16,311.361211942797,5,NERC,59.2592592592593,6.0,9884.505420815287,313.572744078539,9,,
1980-07-25,1980-08-02,1980-07-28,308.375324458478,9,NERC,74.0740740740741,-6.0,12659.88334094159,313.572744078539,9,,
1980-07-27,1980-07-29,1980-07-28,313.112555788283,3,NERC,15.9090909090909,5.0,13599.221008306436,313.572744078539,9,,
1980-08-03,1980-08-05,1980-08-03,310.76111785309,3,NERC,25.531914893617,4.0,14531.504361865707,313.572744078539,9,,
1980-08-09,1980-08-12,1980-08-10,308.194262957778,4,NERC,66.9421487603306,-2.0,15764.281413696819,313.572744078539,9,,
1980-08-09,1980-08-11,1980-08-09,309.61024999738,3,NERC,12.2340425531915,-2.0,16693.11216368896,313.572744078539,9,,
1980-08-10,1980-08-12,1980-08-11,305.548454837085,3,NERC,64.8068669527897,6.0,17609.757528200214,313.572744078539,9,,
1980-08-18,1980-08-21,1980-08-20,308.635817840718,4,NERC,58.3892617449665,0.0,18844.300799563087,313.572744078539,9,,
1980-08-21,1980-08-23,1980-08-22,305.741014964151,3,NERC,28.0701754385965,9.0,19761.52384445554,313.572744078539,9,,
1980-09-01,1980-09-03,1980-09-02,303.42527789744,3,NERC,38.8059701492537,-2.0,20671.799678147858,313.572744078539,9,,
1980-09-01,1980-09-03,1980-09-02,303.347227434733,3,NERC,14.7540983606557,17.0,21581.841360452057,313.572744078539,9,,
1980-09-20,1980-09-22,1980-09-21,309.161062027513,3,NERC,39.375,-1.0,22509.324546534597,313.572744078539,9,,
1980-09-21,1980-09-23,1980-09-23,306.342397073392,3,NERC,48.068669527897,-2.0,23428.351737754772,313.572744078539,9,,
1980-09-21,1980-09-23,1980-09-22,301.582139936529,3,NERC,9.83606557377049,-2.0,24333.09815756436,313.572744078539,9,,
1980-09-21,1980-09-23,1980-09-22,306.204321036012,3,NERC,50.8264462809917,7.0,25251.711120672397,313.572744078539,9,,
