Model,Accuracy,F1 (macro),ROC-AUC,Avg Precision,Brier Score,Log Loss
Gradient Boosting,0.8440153021699371,0.8001120543966544,0.9093853927408343,0.7793717613326573,0.10678059746727381,0.32840276760443304
Random Forest,0.838856011053342,0.7971696537468751,0.9017171092956972,0.7374154608385827,0.11170462730220986,0.3427256923390316
Logistic Regression,0.7266693820830438,0.4220862832735777,0.6559513688648988,0.36477975489536835,0.18617747448986774,0.5524705267637332
