"NERC_ID","MAE","n"
"NERC10",0.822397988053284,96
"NERC9",0.81081873857373,96
"NERC11",0.805299717369935,96
"NERC12",0.802616432397064,96
"NERC3",0.785564885274677,96
"NERC15",0.747800158908017,96
"NERC5",0.746283650607665,96
"NERC8",0.728065745668606,96
"NERC4",0.707457968811907,96
"NERC7",0.693993511909063,96
"NERC17",0.688423496074787,96
"NERC2",0.667483429258895,96
"NERC20",0.665680140971604,96
"NERC18",0.653778611601652,96
"NERC6",0.600099109305194,96
"NERC1",0.574990820216183,96
