"model","dispersion_stat","dispersion_p","zi_stat","zi_p","uniformity_stat","uniformity_p"
"poisson",1.11712922397586,0,1.02326719130895,0.05,0.0179223908940259,0.00879077443096295
"negbin",0.993721626965393,0.862,1.00387977550464,0.752,0.00675042211083049,0.836100610415499
"zi_poisson",1.02325273001078,0.53,1.00313608163331,0.778,0.0120412446677854,0.172514555851891
"zi_negbin",0.995829603464849,0.954,1.00256789104356,0.834,0.00762179556508746,0.710332532768619
