start_date,end_date,centroid_date,highest_temperature_k,duration_days,nerc_id,spatial_coverage
1980-07-04,1980-07-22,1980-07-15,311.70610738255,19,NERC,52.3489932885906
1980-07-04,1980-07-07,1980-07-06,308.832809917355,4,NERC,57.0247933884298
1980-07-06,1980-07-12,1980-07-12,310.231172839506,7,NERC,48.1481481481482
1980-07-07,1980-07-22,1980-07-17,313.12015625,16,NERC,40.625
1980-07-08,1980-07-23,1980-07-16,310.038429752066,16,NERC,50.0
1980-07-09,1980-07-21,1980-07-13,311.097479338843,13,NERC,42.5619834710744
1980-07-10,1980-07-16,1980-07-14,308.854561403509,7,NERC,35.0877192982456
1980-07-13,1980-07-23,1980-07-16,311.813580246914,11,NERC,37.6543209876543
1980-07-16,1980-07-21,1980-07-18,308.923863636364,6,NERC,47.7272727272727
1980-07-19,1980-08-04,1980-07-25,309.197407407407,17,NERC,42.5925925925926
1980-07-20,1980-07-23,1980-07-20,302.20776119403,4,NERC,44.7761194029851
1980-07-24,1980-08-02,1980-07-26,308.179545454545,10,NERC,45.4545454545455
1980-08-01,1980-08-16,1980-08-01,309.652532188841,16,NERC,53.6480686695279
1980-08-03,1980-08-06,1980-08-03,310.703085106383,4,NERC,38.2978723404255
1980-08-07,1980-08-12,1980-08-08,308.136198347107,6,NERC,50.8264462809917
1980-08-17,1980-08-21,1980-08-20,308.588993288591,5,NERC,58.3892617449665
1980-08-19,1980-08-23,1980-08-22,306.936666666667,5,NERC,35.0877192982456
1980-10-01,1980-10-04,1980-10-01,307.708148148148,4,NERC,53.7037037037037
1981-06-10,1981-06-15,1981-06-10,307.379382716049,6,NERC,37.6543209876543
1981-06-13,1981-06-15,1981-06-14,304.83711409396,3,NERC,62.4161073825503
1981-07-05,1981-07-30,1981-07-14,309.752727272727,26,NERC,41.7355371900826
1981-07-11,1981-07-16,1981-07-12,308.636540084388,6,NERC,52.3206751054852
1981-07-14,1981-07-28,1981-07-14,308.829649122807,15,NERC,36.8421052631579
1981-07-19,1981-07-22,1981-07-21,310.084259259259,4,NERC,30.2469135802469
1981-07-20,1981-07-25,1981-07-22,307.938181818182,6,NERC,47.7272727272727
1981-08-07,1981-08-11,1981-08-07,309.648518518519,5,NERC,55.5555555555556
1982-07-16,1982-07-20,1982-07-18,302.59606557377,5,NERC,40.9836065573771
1982-07-16,1982-07-20,1982-07-18,303.211706349206,5,NERC,60.3174603174603
1982-08-21,1982-08-24,1982-08-21,306.988148148148,4,NERC,57.4074074074074
1983-07-02,1983-07-05,1983-07-03,303.788908730159,4,NERC,51.5873015873016
1983-07-03,1983-07-05,1983-07-03,305.256309012876,3,NERC,53.2188841201717
1983-07-11,1983-07-25,1983-07-18,307.870578512397,15,NERC,64.4628099173554
1983-07-12,1983-07-14,1983-07-13,307.450740740741,3,NERC,51.8518518518519
1983-07-12,1983-07-24,1983-07-19,307.658080168776,13,NERC,46.6244725738397
1983-07-14,1983-07-24,1983-07-21,304.819166666667,11,NERC,55.952380952381
1983-07-14,1983-07-25,1983-07-23,309.248926174497,12,NERC,49.6644295302014
