split,model,n_years,nse,kge,rmse_kcfs_days,mae_kcfs_days,mape_pct,skill_vs_climatology,pi_coverage_q10_q90,pinball_q10,pinball_q50,pinball_q90,crps
loyo_cv,climatology,28,-0.14835413990484025,-0.9973843094121917,10728.245642395192,8558.078571428568,18.852519216942596,,,,,,
loyo_cv,mlr,28,0.6893255801428237,0.8165979297578938,5580.119977037759,3687.99772064259,7.8944521523799756,0.7294611400252184,,,,,
loyo_cv,xgb,28,0.44402393932667417,0.49426410317615166,7464.811315242349,6057.434737723213,12.95809443672709,0.5158496483328763,0.6785714285714286,1438.661403459821,3294.478236607142,2469.013666294643,4668.683759494719
test,climatology,6,-0.031213022671805923,-0.41457462526368194,8488.058392186442,7078.500000000001,16.504105379057606,,,,,,
test,mlr,6,0.7671177964871956,0.7405147893752664,4033.688110183469,3411.8051416088833,8.006739551565612,0.7741667352983752,,,,,
test,xgb,6,0.4551807798484826,0.5010201011178392,6169.64782272846,5016.067708333335,12.831896447793204,0.4716715090157354,0.6666666666666666,1400.3621875000006,2714.0838541666676,818.6426953125002,3549.5023495996757
