start_date,end_date,centroid_date,highest_temperature_k,duration_days,nerc_id,spatial_coverage,inter_event_recovery_interval_days,cumulative_heat_stress_index,yearly_max_heat_wave_intensity,yearly_max_heat_wave_duration,yearly_max_heat_wave_intensity_trend,yearly_max_heat_wave_duration_trend
1980-06-11,1980-08-15,1980-06-28,309.355227272727,66,NERC,34.0909090909091,-61.0,20417.44499999998,315.248563829787,66,,
1980-06-15,1980-08-06,1980-06-27,315.248563829787,53,NERC,14.8936170212766,-49.0,37125.61888297869,315.248563829787,66,,
1980-06-18,1980-08-16,1980-07-29,305.149651162791,60,NERC,38.3720930232558,-58.0,55434.597952746146,315.248563829787,66,,
1980-06-19,1980-07-16,1980-07-14,308.854561403509,28,NERC,17.5438596491228,-25.0,64082.5256720444,315.248563829787,66,,
1980-06-21,1980-08-22,1980-07-16,311.813580246914,63,NERC,14.1975308641975,-61.0,83726.78122759997,315.248563829787,66,,
1980-06-21,1980-06-28,1980-06-26,305.509156118143,8,NERC,29.957805907173,-7.0,86170.85447654512,315.248563829787,66,,
1980-06-22,1980-07-22,1980-06-27,313.386125,31,NERC,49.0625,-29.0,95885.82435154513,315.248563829787,66,,
1980-06-23,1980-06-27,1980-06-25,301.739552238806,5,NERC,62.6865671641791,-4.0,97394.52211273916,315.248563829787,66,,
1980-06-23,1980-06-29,1980-06-27,307.554161073826,7,NERC,93.2885906040269,-3.0,99547.40124025593,315.248563829787,66,,
1980-06-23,1980-06-27,1980-06-24,301.260983606557,5,NERC,52.4590163934426,-4.0,101053.70615828873,315.248563829787,66,,
1980-06-26,1980-06-29,1980-06-27,302.520555555556,4,NERC,47.6190476190476,-1.0,102263.78838051094,315.248563829787,66,,
1980-06-28,1980-07-02,1980-06-28,305.383703703704,5,NERC,48.1481481481482,-2.0,103790.70689902946,315.248563829787,66,,
1980-06-30,1980-07-21,1980-07-11,308.639767932489,22,NERC,29.535864978903,-20.0,110580.78179354423,315.248563829787,66,,
1980-07-01,1980-07-22,1980-07-15,311.70610738255,22,NERC,65.1006711409396,-20.0,117438.31615596032,315.248563829787,66,,
1980-07-02,1980-07-06,1980-07-05,306.072618025751,5,NERC,48.9270386266094,-4.0,118968.67924608907,315.248563829787,66,,
1980-07-02,1980-07-23,1980-07-16,310.038429752066,22,NERC,72.7272727272727,-21.0,125789.52470063453,315.248563829787,66,,
1980-07-02,1980-08-24,1980-07-13,311.097479338843,54,NERC,30.9917355371901,-47.0,142588.78858493204,315.248563829787,66,,
1980-07-08,1980-08-16,1980-07-16,305.998511904762,40,NERC,25.9920634920635,-38.0,154828.72906112252,315.248563829787,66,,
1980-07-09,1980-08-16,1980-08-01,309.652532188841,39,NERC,34.3347639484979,-35.0,166905.17781648732,315.248563829787,66,,
