model,split,f1,auc_roc,precision,recall,brier_score,threshold,tp,fp,tn,fn
logistic_regression,validation,0.47356529597831,0.9792360020783158,0.43837144450641385,0.5149033737307567,0.035043915929185446,0.8600000000000002,1572,2014,211125,1481
lightgbm,validation,0.5435375837261226,0.9892439315757899,0.4374126572170094,0.7176547658041271,0.015100963316373816,0.6500000000000001,2191,2818,210321,862
logistic_regression,test,0.5790114954706786,0.9812554324671096,0.518353409845395,0.6557475401967843,0.042183175178893355,0.8600000000000002,5465,5078,300742,2869
lightgbm,test,0.6432092798453359,0.988581017893691,0.5385237941081256,0.7984161267098632,0.01963943068504324,0.6500000000000001,6654,5702,300118,1680
