"perm_num","start_yr","type","NERC_ID","start_date","end_date","centroid_date","extr_temp","duration","spatial_coverage","impact","extreme_type"
37,1984,"heat_wave","NERC18",1984-06-17,1984-06-18,1984-06-17,300.427565684993,2,31.4345991561181,655.572694963694,"heat_dur_temp11"
38,1984,"heat_wave","NERC18",1984-07-09,1984-07-10,1984-07-09,304.15050958634,2,77.8481012658228,2203.18060648078,"heat_dur_temp12"
39,1984,"heat_wave","NERC18",1984-07-14,1984-07-15,1984-07-14,304.263491098779,2,46.6244725738397,1330.05549908446,"heat_dur_temp12"
40,1984,"heat_wave","NERC18",1984-07-22,1984-07-23,1984-07-22,305.44362705546,2,65.6118143459916,2026.56878238315,"heat_dur_temp13"
41,1984,"heat_wave","NERC18",1984-08-01,1984-08-08,1984-08-06,306.202424872159,8,97.6793248945148,12661.1353853327,"heat_dur_temp43"
42,1984,"heat_wave","NERC18",1984-08-26,1984-08-28,1984-08-28,309.825407514821,3,78.6919831223629,4680.30190065078,"heat_dur_temp24"
43,1985,"heat_wave","NERC18",1985-07-08,1985-07-09,1985-07-08,306.401194491923,2,81.4345991561182,2671.24939826256,"heat_dur_temp14"
44,1985,"heat_wave","NERC18",1985-07-13,1985-07-14,1985-07-13,305.431538150099,2,48.1012658227848,1484.55303722471,"heat_dur_temp13"
45,1985,"heat_wave","NERC18",1985-07-18,1985-07-19,1985-07-18,302.877889869281,2,52.5316455696203,1352.99349259534,"heat_dur_temp11"
46,1985,"heat_wave","NERC18",1985-09-03,1985-09-08,1985-09-06,306.191043157478,6,66.0337552742616,6414.93228897547,"heat_dur_temp43"
47,1986,"heat_wave","NERC18",1986-06-19,1986-06-22,1986-06-19,304.613436056561,4,82.4894514767933,4821.81729798764,"heat_dur_temp32"
48,1986,"heat_wave","NERC18",1986-06-26,1986-06-28,1986-06-26,303.79807179646,3,75.9493670886076,3143.86445995292,"heat_dur_temp22"
49,1986,"heat_wave","NERC18",1986-07-04,1986-07-06,1986-07-05,305.445960143808,3,87.5527426160338,4057.00851878502,"heat_dur_temp23"
50,1986,"heat_wave","NERC18",1986-07-10,1986-07-11,1986-07-10,299.259934500103,2,39.662447257384,734.54332743433,"heat_dur_temp11"
51,1986,"heat_wave","NERC18",1986-07-15,1986-07-19,1986-07-18,306.125934448707,5,96.4135021097047,7773.78907495687,"heat_dur_temp33"
52,1986,"heat_wave","NERC18",1986-07-23,1986-07-25,1986-07-24,304.609518452164,3,89.2405063291139,3911.28247168695,"heat_dur_temp22"
53,1986,"heat_wave","NERC18",1986-07-27,1986-07-31,1986-07-29,303.499572545045,5,75.7383966244726,5112.1798983873,"heat_dur_temp32"
54,1986,"heat_wave","NERC18",1986-08-16,1986-08-17,1986-08-16,304.645767830682,2,39.0295358649789,1143.23504163552,"heat_dur_temp12"
55,1987,"heat_wave","NERC18",1987-05-27,1987-05-28,1987-05-28,299.807856301918,2,55.6962025316456,1092.5207019858,"heat_dur_temp11"
56,1987,"heat_wave","NERC18",1987-06-12,1987-06-14,1987-06-14,306.560273833243,3,66.8776371308017,3322.53595261901,"heat_dur_temp24"
57,1987,"heat_wave","NERC18",1987-06-17,1987-06-24,1987-06-17,305.002581673714,8,86.9198312236287,10432.1749359834,"heat_dur_temp43"
58,1987,"heat_wave","NERC18",1987-07-06,1987-07-12,1987-07-10,306.190144727134,7,83.5443037974684,9468.16058726065,"heat_dur_temp43"
59,1987,"heat_wave","NERC18",1987-07-17,1987-08-03,1987-07-31,309.030592832979,18,98.3122362869198,33676.9225069679,"heat_dur_temp44"
60,1987,"heat_wave","NERC18",1987-08-14,1987-08-16,1987-08-15,306.642372127811,3,75.5274261603376,3770.86659604831,"heat_dur_temp24"
61,1988,"heat_wave","NERC18",1988-05-29,1988-06-01,1988-05-31,303.314123722208,4,85.2320675105485,4539.16116774012,"heat_dur_temp31"
62,1988,"heat_wave","NERC18",1988-06-13,1988-06-14,1988-06-13,305.452685566252,2,46.4135021097046,1434.42650825968,"heat_dur_temp13"
63,1988,"heat_wave","NERC18",1988-06-19,1988-06-22,1988-06-21,311.496611977903,4,95.7805907172996,8235.83277465651,"heat_dur_temp34"
64,1988,"heat_wave","NERC18",1988-06-24,1988-06-25,1988-06-25,310.379908293533,2,72.1518987341772,2940.89815881362,"heat_dur_temp14"
65,1988,"heat_wave","NERC18",1988-07-05,1988-07-09,1988-07-06,310.431593700668,5,98.7341772151899,10086.4829661525,"heat_dur_temp34"
66,1988,"heat_wave","NERC18",1988-07-13,1988-07-16,1988-07-15,312.116499299942,4,78.9029535864979,6980.22847103655,"heat_dur_temp34"
67,1988,"heat_wave","NERC18",1988-07-28,1988-07-30,1988-07-28,310.291400956535,3,76.7932489451477,4674.72781530301,"heat_dur_temp24"
68,1988,"heat_wave","NERC18",1988-08-01,1988-08-04,1988-08-01,312.076595806737,4,81.8565400843882,7228.45499832401,"heat_dur_temp34"
69,1988,"heat_wave","NERC18",1988-08-07,1988-08-08,1988-08-07,310.768807653129,2,44.0928270042194,1831.51088586665,"heat_dur_temp14"
70,1988,"heat_wave","NERC18",1988-08-11,1988-08-18,1988-08-16,313.872344143572,8,91.9831223628692,17566.8220195736,"heat_dur_temp44"
