model,split,f1,auc_roc,precision,recall,accuracy,true_negatives,false_positives,false_negatives,true_positives,n_rows
logistic_regression,val,0.6066139628103775,0.8636854840865946,0.5328638497652582,0.7040578960971827,0.855895908961129,18260,2388,1145,2724,24517
logistic_regression,test,0.7660718971398583,0.9163110527456472,0.6952845915694212,0.8529068068945369,0.8545617684244872,15114,2559,1007,5839,24519
xgboost,val,0.5963210702341137,0.9155272505031851,0.8446234012316438,0.46084259498578445,0.9015377085287759,20320,328,2086,1783,24517
xgboost,test,0.7504164109757167,0.9432945540549111,0.9383907037930278,0.6251825883727724,0.8838859659855622,17392,281,2566,4280,24519
