start_date,end_date,centroid_date,lowest_temperature_k,duration_days,nerc_id,spatial_coverage,inter_event_recovery_interval_days,cumulative_heat_stress_index,yearly_max_heat_wave_intensity,yearly_max_heat_wave_duration,yearly_max_heat_wave_intensity_trend,yearly_max_heat_wave_duration_trend
1980-01-05,1980-01-11,1980-01-11,262.381392415454,7,NERC,52.8888888888889,6.0,1836.669746908178,274.328018588722,18,,
1980-01-17,1980-02-01,1980-01-28,256.732658543115,16,NERC,67.1111111111111,-7.0,5944.392283598018,274.328018588722,18,,
1980-01-25,1980-02-01,1980-01-27,256.815153403712,8,NERC,53.4883720930233,-6.0,7998.913510827714,274.328018588722,18,,
1980-01-26,1980-02-04,1980-01-29,246.192652631364,10,NERC,40.5063291139241,-8.0,10460.840037141355,274.328018588722,18,,
1980-01-27,1980-02-05,1980-01-31,256.584219129576,10,NERC,56.25,-9.0,13026.682228437116,274.328018588722,18,,
1980-01-27,1980-02-05,1980-02-01,251.761582540879,10,NERC,42.2818791946309,-7.0,15544.298053845905,274.328018588722,18,,
1980-01-29,1980-02-15,1980-02-01,256.530138643466,18,NERC,69.4214876033058,-16.0,20161.840549428292,274.328018588722,18,,
1980-01-29,1980-02-07,1980-02-01,256.141392806438,10,NERC,54.3650793650794,-9.0,22723.254477492672,274.328018588722,18,,
1980-01-30,1980-02-15,1980-02-02,260.959951326255,17,NERC,63.9484978540773,-14.0,27159.573650039005,274.328018588722,18,,
1980-01-30,1980-02-09,1980-02-01,255.586731485284,11,NERC,85.2459016393443,-10.0,29971.027696377132,274.328018588722,18,,
1980-01-30,1980-02-07,1980-02-01,254.540225873747,9,NERC,67.1641791044776,-8.0,32261.889729240855,274.328018588722,18,,
1980-02-01,1980-02-13,1980-02-02,265.683429473681,13,NERC,38.0165289256198,-11.0,35715.77431239871,274.328018588722,18,,
1980-02-01,1980-02-06,1980-02-01,266.890737516502,6,NERC,51.8518518518519,-5.0,37317.118737497716,274.328018588722,18,,
1980-02-02,1980-02-10,1980-02-02,274.328018588722,9,NERC,68.421052631579,-2.0,39786.070904796215,274.328018588722,18,,
1980-02-08,1980-02-13,1980-02-12,258.806095568241,6,NERC,55.625,-3.0,41338.90747820566,274.328018588722,18,,
