year,month,pdo,nino34,pna,amo
1958,8,1.06,-0.01,2.13,0.152
1958,9,0.29,-0.32,-0.05,0.204
1958,10,0.01,-0.27,0.34,0.143
1958,11,-0.18,0.05,0.08,0.176
1958,12,0.86,0.02,0.35,0.211
1959,1,0.69,0.53,-1.54,0.091
1959,2,-0.43,0.43,-1.23,0.106
1959,3,-0.95,0.19,0.21,-0.036
1959,4,-0.02,0.06,-0.9,-0.013
1959,5,0.23,-0.23,-0.3,-0.002
1959,6,0.44,-0.35,1.08,-0.068
1959,7,-0.5,-0.86,-0.45,-0.041
1959,8,-0.62,-0.77,1.03,0.003
1959,9,-0.85,-0.8,1.19,0.116
1959,10,0.52,-0.48,0.23,0.103
1959,11,1.11,-0.66,0.26,0.042
1959,12,0.06,-0.42,0.36,0.1
1960,1,0.3,-0.28,-0.16,0.167
1960,2,0.52,-0.46,-0.22,0.207
1960,3,-0.21,-0.3,-0.69,0.079
1960,4,0.09,-0.33,-0.07,0.088
1960,5,0.91,-0.25,0.99,0.293
1960,6,0.64,-0.49,1.2,0.31
1960,7,-0.27,-0.41,1.11,0.261
1960,8,-0.38,-0.15,1.85,0.326
1960,9,-0.94,-0.28,-0.01,0.201
1960,10,0.09,-0.49,0.48,0.287
1960,11,-0.23,-0.45,-0.52,0.241
1960,12,0.17,-0.38,1.15,0.128
1961,1,1.18,-0.31,1.16,0.051
1961,2,0.43,-0.19,0.17,0.071
1961,3,0.09,-0.35,0.28,0.139
1961,4,0.34,-0.46,-1.14,0.217
1961,5,-0.06,-0.18,-0.25,0.184
1961,6,-0.61,-0.06,1.84,0.023
1961,7,-1.22,-0.41,-0.52,-0.029
1961,8,-1.13,-0.67,0.47,0.026
1961,9,-2.01,-0.94,1.1,-0.007
1961,10,-2.28,-1.01,-1.94,0.019
1961,11,-1.85,-0.63,-0.4,0.057
1961,12,-2.69,-0.63,-1.54,0.203
1962,1,-1.29,-0.59,-0.74,0.139
1962,2,-1.15,-0.57,-0.54,0.142
1962,3,-1.42,-0.48,-0.71,0.155
1962,4,-0.8,-0.69,-1.5,0.077
1962,5,-1.22,-0.89,-1.11,0.013
1962,6,-1.62,-0.65,-0.97,-0.081
1962,7,-1.46,-0.53,-0.36,-0.018
1962,8,-0.48,-0.53,0.57,-0.073
1962,9,-1.58,-0.78,-0.83,-0.006
1962,10,-1.55,-0.75,1.33,0.055
1962,11,-0.37,-0.95,0.53,0.036
1962,12,-0.96,-0.93,-0.38,0.18
1963,1,-0.33,-0.78,0.09,0.147
1963,2,-0.16,-0.53,0.79,0.155
1963,3,-0.54,-0.1,-2.04,0.123
1963,4,-0.41,-0.03,-0.79,0.093
1963,5,-0.65,-0.3,-0.95,-0.095
1963,6,-0.88,-0.11,0.5,-0.058
1963,7,-1.0,0.49,-1.1,-0.046
1963,8,-1.03,0.62,-1.01,-0.084
1963,9,0.45,0.68,0.87,-0.213
1963,10,-0.52,0.64,0.93,-0.082
1963,11,-2.08,0.77,-0.31,-0.068
1963,12,-1.08,1.02,1.46,-0.071
1964,1,0.01,0.79,-0.44,-0.086
1964,2,-0.21,0.38,1.36,0.01
1964,3,-0.87,-0.26,-1.31,0.028
1964,4,-1.03,-0.87,-1.3,-0.157
1964,5,-1.91,-1.12,-2.27,0.03
1964,6,-0.32,-1.14,0.27,-0.007
1964,7,-0.51,-0.96,0.2,-0.155
1964,8,-1.03,-1.26,0.83,-0.245
1964,9,-0.68,-1.4,0.92,-0.231
1964,10,-0.37,-1.35,0.8,-0.282
1964,11,-0.8,-1.44,-0.78,-0.177
1964,12,-1.52,-1.37,-2.03,-0.132
1965,1,-1.24,-0.89,-0.92,-0.21
1965,2,-1.16,-0.56,-1.03,-0.188
1965,3,0.04,-0.34,-0.8,-0.089
1965,4,0.62,-0.44,-1.07,-0.108
1965,5,-0.66,0.06,-0.42,-0.11
1965,6,-0.8,0.36,1.89,-0.138
1965,7,-0.47,0.61,-1.26,-0.199
1965,8,0.2,1.12,0.32,-0.221
1965,9,0.59,1.29,0.36,-0.233
1965,10,-0.36,1.45,1.42,-0.259
1965,11,-0.59,1.42,-0.81,-0.288
1965,12,0.06,1.36,-1.56,-0.135
1966,1,-0.82,1.12,-0.15,-0.087
1966,2,-0.03,0.8,-2.05,-0.001
1966,3,-1.29,0.93,0.43,-0.021
1966,4,0.06,0.35,-0.54,0.032
1966,5,-0.53,-0.38,-0.15,-0.01
1966,6,0.16,-0.08,0.1,-0.057
1966,7,0.26,0.04,-1.18,-0.067
1966,8,-0.35,-0.37,1.26,-0.055
1966,9,-0.33,-0.44,0.63,-0.012
1966,10,-1.17,-0.5,-0.61,0.002
1966,11,-1.15,-0.47,-1.96,-0.009
1966,12,-0.32,-0.57,-0.21,0.068
1967,1,-0.2,-0.67,-1.16,0.07
1967,2,-0.18,-0.64,-0.2,0.076
1967,3,-1.2,-0.78,-2.25,-0.046
1967,4,-0.89,-1.08,-1.91,-0.027
1967,5,-1.24,-0.59,-0.8,-0.199
1967,6,-1.16,-0.26,-0.33,-0.273
1967,7,-0.89,-0.33,-1.24,-0.242
1967,8,-1.24,-0.42,-0.35,-0.177
1967,9,-0.72,-0.86,0.11,-0.109
1967,10,-0.64,-0.74,1.1,-0.112
1967,11,-0.05,-0.62,-0.35,-0.246
1967,12,-0.4,-0.65,-1.12,-0.165
1968,1,-0.95,-0.85,-1.78,-0.259
1968,2,-0.4,-1.07,1.11,-0.21
1968,3,-0.31,-0.95,0.13,-0.221
1968,4,-1.03,-0.72,-1.11,-0.168
1968,5,-0.53,-0.75,0.23,-0.136
1968,6,-0.35,0.15,-0.08,-0.275
1968,7,0.53,0.28,-0.04,-0.242
