year,month,pdo,nino34,pna,amo
1998,4,1.27,0.78,0.85,0.273
1998,5,0.7,0.57,-1.87,0.365
1998,6,0.4,-0.39,0.09,0.471
1998,7,-0.04,-0.99,1.67,0.469
1998,8,-0.22,-1.28,-0.6,0.494
1998,9,-1.21,-1.26,0.42,0.394
1998,10,-1.39,-1.46,0.77,0.363
1998,11,-0.52,-1.46,0.7,0.298
1998,12,-0.44,-1.69,-0.39,0.261
1999,1,-0.32,-1.69,-0.44,0.032
1999,2,-0.66,-1.32,-0.46,0.039
1999,3,-0.33,-0.95,0.38,0.05
1999,4,-0.41,-1.11,0.05,0.033
1999,5,-0.68,-1.15,-0.05,0.144
1999,6,-1.3,-1.19,0.43,0.161
1999,7,-0.66,-1.17,-0.92,0.179
1999,8,-0.96,-1.22,1.95,0.288
1999,9,-1.53,-1.09,0.33,0.166
1999,10,-2.23,-1.23,0.62,-0.002
1999,11,-2.05,-1.58,0.45,-0.067
1999,12,-1.63,-1.74,-0.09,-0.004
2000,1,-2.0,-1.77,-1.7,-0.102
2000,2,-0.83,-1.55,1.2,-0.057
2000,3,0.29,-0.98,0.95,0.085
2000,4,0.35,-0.87,-0.58,0.023
2000,5,-0.05,-0.86,-0.16,0.086
2000,6,-0.44,-0.79,-1.19,-0.037
2000,7,-0.66,-0.67,-2.55,0.053
2000,8,-1.19,-0.49,-0.51,0.084
2000,9,-1.24,-0.52,-1.21,0.083
2000,10,-1.3,-0.7,0.44,-0.059
2000,11,-0.53,-0.79,0.7,-0.072
2000,12,0.52,-0.92,0.92,-0.146
2001,1,0.6,-0.73,1.29,-0.146
2001,2,0.29,-0.63,-0.51,-0.046
2001,3,0.45,-0.48,0.39,-0.005
2001,4,-0.31,-0.49,-0.7,-0.031
2001,5,-0.3,-0.34,-0.01,-0.028
2001,6,-0.47,-0.19,-0.89,0.179
2001,7,-1.31,-0.04,-0.36,0.116
2001,8,-0.77,-0.05,-0.14,0.158
2001,9,-1.37,-0.2,0.04,0.267
2001,10,-1.37,-0.14,-0.08,0.232
2001,11,-1.26,-0.37,1.03,0.137
2001,12,-0.93,-0.41,0.26,0.194
2002,1,0.27,-0.15,-0.7,0.162
2002,2,-0.64,-0.04,-0.11,0.146
2002,3,-0.43,0.01,-1.56,0.125
2002,4,-0.32,0.02,-2.4,0.008
2002,5,-0.63,0.31,-0.56,-0.068
2002,6,-0.35,0.72,0.06,-0.136
2002,7,-0.31,0.74,0.4,-0.085
2002,8,0.6,0.87,0.61,0.087
2002,9,0.43,1.09,0.6,0.06
2002,10,0.42,1.25,-0.55,0.092
2002,11,1.51,1.47,1.46,0.0
2002,12,2.1,1.37,1.28,-0.015
2003,1,2.09,0.6,1.01,0.031
2003,2,1.75,0.64,0.68,-0.032
2003,3,1.51,0.36,-0.36,0.093
2003,4,1.18,-0.14,-0.1,0.06
2003,5,0.89,-0.61,-1.85,0.132
2003,6,0.68,-0.29,-0.53,0.186
2003,7,0.96,0.21,0.73,0.257
2003,8,0.88,0.26,-0.31,0.396
2003,9,0.01,0.27,0.59,0.432
2003,10,0.83,0.42,1.23,0.407
2003,11,0.52,0.33,-1.65,0.204
2003,12,0.33,0.43,0.56,0.205
2004,1,0.43,0.27,-0.12,0.191
2004,2,0.48,0.23,1.12,0.19
2004,3,0.61,0.12,-0.0,0.138
2004,4,0.57,0.07,0.25,0.089
2004,5,0.88,0.06,-1.46,-0.014
2004,6,0.04,0.13,-0.28,0.158
2004,7,0.44,0.49,-0.33,0.208
2004,8,0.85,0.76,1.52,0.297
2004,9,0.75,0.81,-0.11,0.221
2004,10,-0.11,0.73,-1.37,0.222
2004,11,-0.63,0.66,0.29,0.201
2004,12,-0.17,0.74,-0.04,0.168
2005,1,0.44,0.66,-0.62,0.091
2005,2,0.81,0.36,-0.11,0.106
2005,3,1.36,0.45,0.56,0.264
2005,4,1.03,0.26,1.0,0.272
2005,5,1.86,0.3,1.62,0.273
2005,6,1.17,0.04,0.42,0.307
2005,7,0.66,-0.23,-0.02,0.427
2005,8,0.25,-0.05,0.69,0.42
2005,9,-0.46,-0.04,1.32,0.399
2005,10,-1.32,-0.06,1.16,0.218
2005,11,-1.5,-0.59,-0.74,0.12
2005,12,0.2,-0.92,1.07,0.196
2006,1,1.03,-0.91,-0.1,0.104
2006,2,0.66,-0.67,-0.44,0.055
2006,3,0.05,-0.71,-0.56,0.04
2006,4,0.4,-0.32,0.2,0.177
2006,5,0.48,-0.09,-1.03,0.288
2006,6,1.04,0.0,-1.02,0.313
2006,7,0.35,0.01,1.29,0.354
2006,8,-0.65,0.31,-1.45,0.381
2006,9,-0.94,0.6,0.31,0.344
2006,10,-0.05,0.7,-0.76,0.314
2006,11,-0.22,0.99,-1.34,0.269
2006,12,0.14,1.14,1.55,0.151
2007,1,0.01,0.7,0.27,0.151
2007,2,0.04,0.13,-0.42,0.197
2007,3,-0.36,-0.18,-0.12,0.107
2007,4,0.16,-0.32,0.97,0.139
2007,5,-0.1,-0.47,0.03,0.091
2007,6,0.09,-0.35,-0.3,0.068
2007,7,0.78,-0.59,1.65,0.109
2007,8,0.5,-0.72,1.96,0.035
2007,9,-0.36,-1.11,1.52,0.078
2007,10,-1.45,-1.39,0.77,0.138
2007,11,-1.08,-1.54,0.65,0.156
2007,12,-0.58,-1.58,-0.16,0.091
2008,1,-1.0,-1.68,-1.06,0.01
2008,2,-0.77,-1.67,0.37,0.108
2008,3,-0.71,-1.21,-0.61,0.138
2008,4,-1.52,-0.99,-1.18,0.022
2008,5,-1.37,-0.84,1.25,0.152
2008,6,-1.34,-0.68,-1.76,0.236
2008,7,-1.67,-0.3,-0.51,0.186
2008,8,-1.7,-0.13,0.89,0.155
2008,9,-1.55,-0.25,0.89,0.178
2008,10,-1.76,-0.35,1.11,0.082
2008,11,-1.25,-0.46,1.05,-0.019
2008,12,-0.87,-0.86,-1.71,-0.002
2009,1,-1.4,-0.89,0.13,-0.079
2009,2,-1.55,-0.79,-1.57,-0.185
2009,3,-1.59,-0.69,-1.29,-0.18
2009,4,-1.65,-0.35,-0.04,-0.151
2009,5,-0.88,0.06,-0.43,-0.082
2009,6,-0.31,0.31,0.48,0.101
2009,7,-0.53,0.48,0.72,0.208
2009,8,0.09,0.56,0.62,0.132
2009,9,0.52,0.68,1.03,0.037
2009,10,0.27,0.89,0.64,0.144
2009,11,-0.4,1.46,0.19,0.049
2009,12,0.08,1.74,0.04,0.062
2010,1,0.83,1.52,0.96,0.019
2010,2,0.82,1.25,0.48,0.157
2010,3,0.44,0.9,1.68,0.267
2010,4,0.78,0.38,1.26,0.405
2010,5,0.62,-0.22,-0.73,0.439
2010,6,-0.22,-0.69,-0.1,0.427
2010,7,-1.05,-1.07,0.89,0.429
2010,8,-1.27,-1.39,1.07,0.505
2010,9,-1.61,-1.6,1.07,0.428
2010,10,-1.06,-1.69,2.15,0.303
2010,11,-0.82,-1.64,-0.81,0.215
2010,12,-1.21,-1.6,-2.08,0.187
2011,1,-0.92,-1.54,1.0,0.123
2011,2,-0.83,-1.11,-2.41,0.087
2011,3,-0.69,-0.93,0.38,0.034
2011,4,-0.42,-0.77,-1.78,0.071
2011,5,-0.37,-0.52,0.25,0.131
2011,6,-0.69,-0.38,0.35,0.157
2011,7,-1.86,-0.43,-0.75,0.071
2011,8,-1.74,-0.65,1.4,0.126
2011,9,-1.79,-0.8,-0.39,0.123
2011,10,-1.34,-1.05,0.86,0.042
2011,11,-2.33,-1.19,-0.76,-0.092
2011,12,-1.79,-1.06,0.06,-0.066
2012,1,-1.38,-0.87,0.13,-0.086
2012,2,-0.85,-0.67,0.7,-0.017
2012,3,-1.05,-0.61,-0.19,0.005
2012,4,-0.27,-0.5,-0.09,0.059
2012,5,-1.26,-0.32,-0.29,0.143
2012,6,-0.87,0.02,-0.42,0.279
2012,7,-1.52,0.25,-0.57,0.354
2012,8,-1.93,0.47,-0.2,0.41
2012,9,-2.21,0.38,-0.39,0.427
2012,10,-0.79,0.26,-1.13,0.308
2012,11,-0.59,0.16,-1.06,0.144
2012,12,-0.48,-0.25,-1.31,0.12
2013,1,-0.13,-0.53,0.05,0.107
2013,2,-0.43,-0.52,0.3,0.094
2013,3,-0.63,-0.25,-0.26,0.137
2013,4,-0.16,-0.25,-1.76,0.115
2013,5,0.08,-0.4,-0.24,0.08
2013,6,-0.78,-0.42,-0.35,0.025
2013,7,-1.25,-0.39,-0.71,0.169
2013,8,-1.04,-0.38,-0.06,0.173
2013,9,-0.48,-0.18,0.41,0.233
2013,10,-0.87,-0.2,-0.21,0.325
2013,11,-0.11,-0.14,-1.14,0.107
2013,12,-0.41,-0.17,-1.16,0.015
2014,1,0.3,-0.49,0.59,-0.083
2014,2,0.38,-0.62,-1.57,-0.064
2014,3,0.97,-0.28,-0.5,-0.103
2014,4,1.13,0.08,-0.0,-0.116
2014,5,1.8,0.32,-0.59,-0.023
2014,6,0.82,0.23,-1.44,0.04
2014,7,0.7,-0.06,0.5,0.2
2014,8,0.67,-0.03,1.35,0.313
2014,9,1.08,0.29,0.78,0.288
2014,10,1.49,0.44,1.14,0.27
2014,11,1.72,0.75,0.64,0.043
2014,12,2.51,0.71,0.37,0.037
2015,1,2.45,0.51,0.14,-0.03
2015,2,2.3,0.42,0.49,-0.026
2015,3,2.0,0.47,-0.52,-0.151
2015,4,1.44,0.7,-0.39,-0.093
2015,5,1.2,0.92,-0.05,0.023
2015,6,1.54,1.18,-0.07,0.007
2015,7,1.84,1.46,0.29,0.11
2015,8,1.56,1.93,0.05,0.156
2015,9,1.94,2.21,-0.8,0.278
2015,10,1.47,2.36,2.12,0.302
2015,11,0.86,2.72,-0.2,0.164
2015,12,1.01,2.66,0.47,0.207
2016,1,1.53,2.57,1.94,0.209
2016,2,1.75,2.26,1.68,0.133
2016,3,2.4,1.62,0.41,0.166
2016,4,2.62,0.91,0.6,0.155
2016,5,2.35,0.3,-0.85,0.322
2016,6,2.03,-0.03,-0.64,0.387
2016,7,1.25,-0.48,0.53,0.41
2016,8,0.52,-0.58,-0.91,0.434
2016,9,0.45,-0.58,0.11,0.435
2016,10,0.56,-0.74,1.53,0.358
2016,11,1.88,-0.76,1.44,0.368
2016,12,1.17,-0.5,-0.65,0.313
2017,1,0.77,-0.43,-0.29,0.203
2017,2,0.7,-0.08,-0.05,0.204
2017,3,0.74,0.03,-0.03,0.145
2017,4,1.12,0.22,0.14,0.26
2017,5,0.88,0.37,-0.19,0.292
2017,6,0.79,0.34,1.18,0.285
2017,7,0.1,0.25,1.33,0.28
2017,8,0.09,-0.16,0.2,0.287
2017,9,0.32,-0.43,-0.32,0.328
2017,10,0.05,-0.56,-0.28,0.411
2017,11,0.15,-0.97,-1.98,0.329
2017,12,0.5,-0.98,0.58,0.341
2018,1,0.7,-0.98,-0.14,0.15
2018,2,0.37,-0.78,-1.67,0.04
2018,3,-0.05,-0.8,-1.16,0.109
2018,4,0.11,-0.51,-1.12,0.041
2018,5,0.11,-0.2,-1.09,-0.023
2018,6,-0.04,0.04,0.66,-0.034
2018,7,0.11,0.12,-0.76,-0.005
2018,8,0.18,0.09,1.24,0.09
2018,9,0.09,0.47,1.16,0.139
2018,10,0.26,0.9,0.39,0.121
2018,11,-0.05,0.9,0.22,-0.143
2018,12,0.52,0.89,0.56,-0.083
2019,1,0.66,0.65,0.42,-0.037
2019,2,0.46,0.71,-1.73,0.058
2019,3,0.37,0.81,-0.05,0.099
2019,4,1.07,0.62,-0.84,0.101
2019,5,1.03,0.55,-0.17,0.065
2019,6,1.09,0.45,0.24,0.151
2019,7,1.03,0.35,0.62,0.329
2019,8,0.38,0.04,1.16,0.315
2019,9,0.41,0.03,1.62,0.223
2019,10,-0.45,0.48,-0.97,0.136
2019,11,0.15,0.52,-0.07,0.087
2019,12,0.97,0.52,-0.12,0.142
2020,1,-0.23,0.6,-0.95,0.073
2020,2,-0.68,0.37,-0.07,0.333
2020,3,-0.82,0.48,-2.41,0.346
2020,4,-0.57,0.36,-1.38,0.347
2020,5,0.09,-0.27,0.27,0.243
2020,6,-0.08,-0.34,0.86,0.249
2020,7,-0.38,-0.3,1.2,0.341
2020,8,-0.28,-0.59,1.8,0.425
2020,9,-0.7,-0.83,0.59,0.296
2020,10,-0.69,-1.26,-1.08,0.289
2020,11,-1.12,-1.42,0.21,0.113
2020,12,-0.9,-1.15,1.28,0.163
2021,1,-0.16,-1.0,-0.41,0.126
2021,2,-0.54,-1.0,-0.71,0.139
2021,3,-1.17,-0.8,-1.24,0.112
2021,4,-0.91,-0.72,-1.26,0.054
2021,5,-0.94,-0.46,-1.1,0.072
2021,6,-1.18,-0.28,0.82,0.139
2021,7,-1.87,-0.39,0.11,0.21
2021,8,-1.12,-0.53,0.93,0.245
2021,9,-1.53,-0.55,0.33,0.402
2021,10,-2.55,-0.94,1.41,0.475
2021,11,-2.52,-0.94,0.68,0.445
2021,12,-2.0,-1.06,-2.85,0.252
2022,1,-1.24,-0.94,0.65,0.176
2022,2,-1.08,-0.89,0.58,0.133
2022,3,-1.0,-0.97,-0.16,0.009
2022,4,-1.51,-1.11,-0.96,0.11
2022,5,-1.92,-1.11,-0.64,0.197
2022,6,-1.21,-0.75,-0.22,0.199
2022,7,-2.86,-0.69,1.96,0.136
2022,8,-1.92,-0.97,0.76,0.358
2022,9,-1.82,-1.07,0.13,0.662
2022,10,-1.51,-0.99,0.35,0.483
2022,11,-2.12,-0.9,-0.71,0.282
2022,12,-1.98,-0.85,-0.96,0.218
2023,1,-0.92,-0.72,-0.37,0.192
2023,2,-1.09,-0.46,-1.15,
2023,3,-1.63,-0.11,-1.89,
2023,4,-2.18,0.14,-0.65,
2023,5,-1.69,0.46,-0.67,
2023,6,-1.89,0.84,0.84,
2023,7,-1.85,1.02,0.65,
2023,8,-1.68,1.35,0.42,
2023,9,-2.14,1.6,0.84,
2023,10,-1.61,1.72,1.49,
2023,11,-1.31,2.02,0.51,
2023,12,-1.24,2.03,0.91,
2024,1,-0.85,1.81,-0.08,
2024,2,-0.43,1.52,-0.18,
2024,3,-0.56,1.13,0.15,
2024,4,-1.06,0.77,-0.88,
2024,5,-2.15,0.23,-2.33,
2024,6,-2.41,0.17,1.14,
2024,7,-1.97,0.04,2.01,
2024,8,-1.88,-0.12,-1.04,
2024,9,-2.64,-0.26,1.08,
2024,10,-2.92,-0.27,0.2,
2024,11,-2.41,-0.25,0.05,
2024,12,-1.61,-0.6,1.39,
2025,1,-0.78,-0.74,0.7,
2025,2,-0.82,-0.43,1.59,
2025,3,-0.41,0.01,-0.39,
2025,4,-0.57,-0.14,-1.08,
2025,5,-1.14,-0.13,-1.38,
2025,6,-2.32,-0.07,-1.07,
2025,7,-3.51,-0.14,0.27,
2025,8,-2.71,-0.36,-0.39,
2025,9,-9.9,-0.47,0.63,
2025,10,-9.9,-0.5,1.73,
2025,11,-9.9,-0.7,0.74,
2025,12,-9.9,-0.67,-1.71,
2026,1,,-0.58,0.36,
2026,2,,-0.27,-1.04,
2026,3,,-0.06,-1.99,
2026,4,,,,
2026,5,,,,
2026,6,,,,
2026,7,,,,
2026,8,,,,
2026,9,,,,
2026,10,,,,
2026,11,,,,
2026,12,,,,
