water_year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,AVE
2003,107538,127088,122937,121029,133211,155613,201941,242248,244785,146905,131306,94785,152446
2004,106710,123913,141679,140675,135698,142561,162218,219755,222435,146746,129244,114474,148839
2005,111300,124221,153936,149078,145668,132805,145126,232453,195236,175941,136170,94503,149845
2006,110676,123250,134347,182042,177986,164320,305160,340949,313801,180584,136579,92982,188421
2007,96990,129639,141336,170943,144033,200191,229192,261700,214656,171094,141809,89455,166102
2008,96951,114045,129384,146781,134511,142848,161147,308852,360073,206817,130831,93405,168845
2009,96303,120302,135405,178797,131490,137005,231581,276636,287739,164681,119430,82280,163547
2010,90919,118030,134460,119586,118968,111905,133961,205054,338418,188570,125511,88030,147782
2011,103924,126259,140858,204187,215306,228799,301469,395742,487297,329518,198940,123021,237893
2012,120008,134150,141145,148399,145111,208670,335509,358041,352850,327155,203154,118098,216203
2013,97089,134620,182932,184578,145676,132740,238085,292930,248933,210186,152555,101530,177034
2014,110664,118849,130424,131276,124488,232174,246158,314845,280520,213756,150033,92092,179158
2015,94164,128652,164401,196110,236000,199734,178575,185683,154427,131366,134014,95749,157808
2016,92078,125013,133618,145368,169304,207568,280372,250020,196035,152579,126761,90793,164000
2017,110804,141933,154202,173441,217037,352473,389648,417015,367920,183142,128954,108929,228633
2018,92132,119557,150110,195864,237829,200382,271927,451313,275463,171188,133411,93360,199164
