water_year,month,cal_year,cal_month,mean_flow_cfs,volume_kcfs_days
1939,Jan,1939,1,64210.0,1990.51
1939,Feb,1939,2,55802.0,1562.456
1939,Mar,1939,3,104377.0,3235.687
1939,Apr,1939,4,205248.0,6157.44
1939,May,1939,5,393968.0,12213.008
1939,Jun,1939,6,281684.0,8450.52
1939,Jul,1939,7,208829.0,6473.699
1939,Aug,1939,8,122551.0,3799.081
1939,Sep,1939,9,76756.0,2302.68
1940,Oct,1939,10,72195.0,2238.045
1940,Nov,1939,11,73914.0,2217.42
1940,Dec,1939,12,79070.0,2451.17
1940,Jan,1940,1,64018.0,1984.558
1940,Feb,1940,2,85226.0,2471.554
1940,Mar,1940,3,138389.0,4290.059
1940,Apr,1940,4,218248.0,6547.44
1940,May,1940,5,350646.0,10870.026
1940,Jun,1940,6,298964.0,8968.92
1940,Jul,1940,7,169323.0,5249.013
1940,Aug,1940,8,109225.0,3385.975
1940,Sep,1940,9,92961.0,2788.83
1941,Oct,1940,10,90281.0,2798.711
1941,Nov,1940,11,76700.0,2301.0
1941,Dec,1940,12,77899.0,2414.869
1941,Jan,1941,1,73314.0,2272.734
1941,Feb,1941,2,72674.0,2034.872
1941,Mar,1941,3,102911.0,3190.241
1941,Apr,1941,4,166504.0,4995.12
1941,May,1941,5,271059.0,8402.829
1941,Jun,1941,6,277476.0,8324.28
1941,Jul,1941,7,167681.0,5198.111
1941,Aug,1941,8,110178.0,3415.518
1941,Sep,1941,9,108551.0,3256.53
1942,Oct,1941,10,118845.0,3684.195
1942,Nov,1941,11,113393.0,3401.79
1942,Dec,1941,12,153241.0,4750.471
1942,Jan,1942,1,89063.0,2760.953
1942,Feb,1942,2,96088.0,2690.464
1942,Mar,1942,3,91085.0,2823.635
1942,Apr,1942,4,217107.0,6513.21
1942,May,1942,5,330667.0,10250.677
1942,Jun,1942,6,401155.0,12034.65
1942,Jul,1942,7,268714.0,8330.134
1942,Aug,1942,8,140688.0,4361.328
1942,Sep,1942,9,83443.0,2503.29
1943,Oct,1942,10,67904.0,2105.024
1943,Nov,1942,11,80662.0,2419.86
1943,Dec,1942,12,94220.0,2920.82
1943,Jan,1943,1,91486.0,2836.066
1943,Feb,1943,2,104942.0,2938.376
1943,Mar,1943,3,114874.0,3561.094
1943,Apr,1943,4,390574.0,11717.22
1943,May,1943,5,361584.0,11209.104
1943,Jun,1943,6,485444.0,14563.32
1943,Jul,1943,7,365552.0,11332.112
1943,Aug,1943,8,153610.0,4761.91
1943,Sep,1943,9,83579.0,2507.37
1944,Oct,1943,10,73632.0,2282.592
1944,Nov,1943,11,68971.0,2069.13
1944,Dec,1943,12,62574.0,1939.794
1944,Jan,1944,1,53200.0,1649.2
1944,Feb,1944,2,57141.0,1657.089
1944,Mar,1944,3,63436.0,1966.516
1944,Apr,1944,4,109478.0,3284.34
1944,May,1944,5,243016.0,7533.496
1944,Jun,1944,6,291524.0,8745.72
1944,Jul,1944,7,149440.0,4632.64
1944,Aug,1944,8,107105.0,3320.255
1944,Sep,1944,9,82481.0,2474.43
1945,Oct,1944,10,73845.0,2289.195
1945,Nov,1944,11,72017.0,2160.51
1945,Dec,1944,12,55305.0,1714.455
1945,Jan,1945,1,71161.0,2205.991
1945,Feb,1945,2,81737.0,2288.636
1945,Mar,1945,3,82649.0,2562.119
1945,Apr,1945,4,114509.0,3435.27
1945,May,1945,5,358677.0,11118.987
1945,Jun,1945,6,428438.0,12853.14
1945,Jul,1945,7,212890.0,6599.59
1945,Aug,1945,8,107829.0,3342.699
1945,Sep,1945,9,77502.0,2325.06
1946,Oct,1945,10,65361.0,2026.191
1946,Nov,1945,11,81579.0,2447.37
1946,Dec,1945,12,81320.0,2520.92
1946,Jan,1946,1,95415.0,2957.865
1946,Feb,1946,2,73325.0,2053.1
1946,Mar,1946,3,128848.0,3994.288
1946,Apr,1946,4,256699.0,7700.97
1946,May,1946,5,522208.0,16188.448
1946,Jun,1946,6,471759.0,14152.77
1946,Jul,1946,7,255648.0,7925.088
1946,Aug,1946,8,132535.0,4108.585
1946,Sep,1946,9,97038.0,2911.14
1947,Oct,1946,10,80293.0,2489.083
1947,Nov,1946,11,89311.0,2679.33
1947,Dec,1946,12,140171.0,4345.301
1947,Jan,1947,1,85996.0,2665.876
1947,Feb,1947,2,112689.0,3155.292
1947,Mar,1947,3,127694.0,3958.514
1947,Apr,1947,4,216680.0,6500.4
1947,May,1947,5,512676.0,15892.956
1947,Jun,1947,6,429015.0,12870.45
1947,Jul,1947,7,237178.0,7352.518
1947,Aug,1947,8,124428.0,3857.268
1947,Sep,1947,9,92278.0,2768.34
1948,Oct,1947,10,130158.0,4034.898
1948,Nov,1947,11,119832.0,3594.96
1948,Dec,1947,12,100381.0,3111.811
1948,Jan,1948,1,105833.0,3280.823
1948,Feb,1948,2,93447.0,2709.963
1948,Mar,1948,3,95861.0,2971.691
1948,Apr,1948,4,206291.0,6188.73
1948,May,1948,5,580052.0,17981.612
1948,Jun,1948,6,784118.0,23523.54
1948,Jul,1948,7,258245.0,8005.595
1948,Aug,1948,8,166081.0,5148.511
1948,Sep,1948,9,105054.0,3151.62
1949,Oct,1948,10,88656.0,2748.336
1949,Nov,1948,11,81159.0,2434.77
1949,Dec,1948,12,68357.0,2119.067
1949,Jan,1949,1,55664.0,1725.584
1949,Feb,1949,2,95944.0,2686.432
1949,Mar,1949,3,145065.0,4497.015
1949,Apr,1949,4,251910.0,7557.3
1949,May,1949,5,563703.0,17474.793
1949,Jun,1949,6,364813.0,10944.39
1949,Jul,1949,7,166962.0,5175.822
1949,Aug,1949,8,115773.0,3588.963
1949,Sep,1949,9,80172.0,2405.16
1950,Oct,1949,10,70145.0,2174.495
1950,Nov,1949,11,87694.0,2630.82
1950,Dec,1949,12,93681.0,2904.111
1950,Jan,1950,1,74827.0,2319.637
1950,Feb,1950,2,107022.0,2996.616
1950,Mar,1950,3,165289.0,5123.959
1950,Apr,1950,4,220441.0,6613.23
1950,May,1950,5,380875.0,11807.125
1950,Jun,1950,6,670101.0,20103.03
1950,Jul,1950,7,411684.0,12762.204
1950,Aug,1950,8,165581.0,5133.011
1950,Sep,1950,9,98403.0,2952.09
1951,Oct,1950,10,100811.0,3125.141
1951,Nov,1950,11,128153.0,3844.59
1951,Dec,1950,12,143721.0,4455.351
1951,Jan,1951,1,135682.0,4206.142
1951,Feb,1951,2,182627.0,5113.556
1951,Mar,1951,3,138177.0,4283.487
1951,Apr,1951,4,288456.0,8653.68
1951,May,1951,5,556535.0,17252.585
1951,Jun,1951,6,440082.0,13202.46
1951,Jul,1951,7,320812.0,9945.172
1951,Aug,1951,8,151272.0,4689.432
1951,Sep,1951,9,97343.0,2920.29
1952,Oct,1951,10,119582.0,3707.042
1952,Nov,1951,11,96300.0,2889.0
1952,Dec,1951,12,96156.0,2980.836
1952,Jan,1952,1,82251.0,2549.781
1952,Feb,1952,2,102122.0,2961.538
1952,Mar,1952,3,106151.0,3290.681
1952,Apr,1952,4,331810.0,9954.3
1952,May,1952,5,552550.0,17129.05
1952,Jun,1952,6,416973.0,12509.19
1952,Jul,1952,7,250333.0,7760.323
1952,Aug,1952,8,132438.0,4105.578
1952,Sep,1952,9,78487.0,2354.61
1953,Oct,1952,10,65201.0,2021.231
1953,Nov,1952,11,57564.0,1726.92
1953,Dec,1952,12,57062.0,1768.922
1953,Jan,1953,1,109495.0,3394.345
1953,Feb,1953,2,123651.0,3462.228
1953,Mar,1953,3,97791.0,3031.521
1953,Apr,1953,4,146537.0,4396.11
1953,May,1953,5,378448.0,11731.888
1953,Jun,1953,6,564809.0,16944.27
