water_year,target_volume,apr1_swe_inches,apr1_swe_anomaly_pct,djf_pdo,djf_nino34,djf_pna,jan_mar_mean_q_cfs,oct_mar_volume_kcfs_days
1985,42667.7,35.10666666666666,22.322880371660847,1.01,-1.0733333333333333,-0.48333333333333334,86837.0,16043.572
1986,46476.8,29.266666666666666,1.9744483159117299,1.0366666666666668,-0.5933333333333333,0.6966666666666667,176452.0,24297.006
1987,34901.9,23.9875,-16.419860627177695,1.8,1.13,0.7533333333333333,99931.66666666667,16958.545
1988,35848.3,26.54375,-7.513066202090593,1.1466666666666667,0.7066666666666667,0.6333333333333334,67401.66666666667,11216.635
1989,43915.4,35.96875,25.32665505226481,-0.7999999999999999,-1.8,-0.9833333333333334,92799.0,15494.965
1990,49042.6,29.80625,3.854529616724736,-0.38666666666666666,0.029999999999999995,-1.0999999999999999,100110.66666666667,18030.866
1991,52703.8,28.481250000000003,-0.7621951219512072,-1.8133333333333332,0.38666666666666666,-0.09666666666666675,122616.33333333333,21531.082
1992,31668.2,18.03125,-37.17334494773519,0.15,1.7700000000000002,0.4166666666666667,97931.0,15637.07
1993,43192.9,26.9375,-6.141114982578395,0.25666666666666665,0.13333333333333333,-0.8566666666666666,86167.66666666667,13961.555
1994,34993.3,22.5125,-21.559233449477354,0.9566666666666667,0.10666666666666667,-0.55,76029.0,12789.655999999999
1995,45663.3,31.53125,9.864982578397214,-0.6066666666666667,1.0,0.42333333333333334,148301.33333333334,18881.464
1996,58356.8,30.59375,6.598432055749131,0.5,-0.89,-0.25333333333333335,208399.33333333334,34134.162
1997,70807.2,49.01875,70.79703832752612,0.16,-0.5133333333333333,-0.3066666666666667,189462.66666666666,25801.798
1998,47808.0,26.1375,-8.928571428571429,1.02,2.233333333333333,0.68,123481.66666666667,21971.5
1999,58713.6,41.88125,45.92770034843207,-0.47333333333333333,-1.5666666666666667,-0.43,150123.33333333334,21271.746
2000,45545.7,31.78125,10.736062717770038,-1.4866666666666666,-1.6866666666666668,-0.19666666666666668,122360.0,21728.826999999997
2001,28261.9,17.0125,-40.72299651567944,0.47,-0.7600000000000001,0.5666666666666667,65951.33333333333,12329.874
2002,49864.3,36.09375,25.76219512195122,-0.43333333333333335,-0.19999999999999998,-0.18333333333333332,94063.66666666667,14921.802
2003,39335.3,26.40625,-7.992160278745643,1.9799999999999998,0.8700000000000001,0.9900000000000001,112862.0,15584.129
2004,40110.9,26.325000000000003,-8.2752613240418,0.41333333333333333,0.31,0.52,93538.0,16113.707999999999
2005,35807.2,14.96875,-47.84407665505226,0.36000000000000004,0.5866666666666667,-0.25666666666666665,106926.33333333333,18744.366
2006,50763.4,36.3375,26.61149825783972,0.63,-0.8333333333333334,0.17666666666666667,128000.66666666667,19968.131999999998
2007,41137.4,23.025,-19.77351916376307,0.06333333333333334,0.6566666666666666,0.46666666666666673,130099.33333333333,20384.403
2008,49072.1,37.7375,31.48954703832752,-0.7833333333333333,-1.6433333333333333,-0.2833333333333333,81219.0,14715.803
2009,42602.8,29.53125,2.896341463414637,-1.2733333333333334,-0.8466666666666667,-1.05,103652.66666666667,17225.545
2010,40988.0,19.8625,-30.79268292682926,0.5766666666666667,1.5033333333333332,0.49333333333333335,82114.0,13830.54
2011,65984.6,32.706250000000004,13.959059233449494,-0.9866666666666667,-1.4166666666666667,-1.1633333333333333,140903.33333333334,21487.957000000002
2012,61431.0,33.181250000000006,15.614111498257863,-1.3399999999999999,-0.8666666666666667,0.29666666666666663,115748.0,18278.974000000002
2013,45780.8,25.1875,-12.238675958188152,-0.3466666666666667,-0.43333333333333335,-0.32,103131.0,19521.355
2014,48726.0,30.325,5.662020905923345,0.09000000000000001,-0.4266666666666667,-0.7133333333333334,114331.0,17478.77
2015,31185.1,13.8875,-51.61149825783973,2.42,0.5466666666666666,0.3333333333333333,174382.0,25170.504
2016,41470.7,28.7,0.0,1.43,2.4966666666666666,1.3633333333333333,139141.0,20542.299
2017,57104.3,34.03125,18.57578397212544,0.8799999999999999,-0.33666666666666667,-0.33,189043.33333333334,28341.895
2018,52976.8,29.0625,1.2630662020905947,0.5233333333333333,-0.9133333333333334,-0.41,134653.0,20199.642
