model,split,f1,precision,recall,auc_roc
logistic_regression,val,0.6066139628103775,0.5328638497652582,0.7040578960971827,0.8636854840865946
logistic_regression,test,0.7660718971398583,0.6952845915694212,0.8529068068945369,0.9163110527456472
xgboost,val,0.5963210702341137,0.8446234012316438,0.46084259498578445,0.9155272505031851
xgboost,test,0.7504164109757167,0.9383907037930278,0.6251825883727724,0.9432945540549111
